枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-3a0ce37a12ff,おこしんMK-2,8,1510,2265,4,multi_hit_attack,0.8991,0.5486,87,13,8,いいえ,おこしんMK-2 / 北間・クラリス嬢 / ハンドさんは泳がない / むぅむぅ / 夜魔・マヤー
1,2,em-ea813aee5d92,ブラジリアン首都術,8,1812,1963,4,aoe_attack,0.8807,0.5278,98,2,8,いいえ,ブラジリアン首都術 / ばけごろう / ジョロウグモ / 巳ーちゃんさん / 巨大カンテツ
1,3,em-b6adaf9bf556,こうせえっつう女中,17,805,2898,0,attack_buff,0.8629,0.6736,95,5,8,いいえ,こうせえっつう女中 / カルボ姉（ねえ） / ジョロウグモ / 巳ーちゃんさん / 巨大カンテツ
1,4,em-d5ed773d56cd,夏至祭のヴァサクサ君,18,3976,2156,2,skill_reduction,0.8609,0.5972,96,4,8,いいえ,夏至祭のヴァサクサ君 / カルボ姉（ねえ） / ジョロウグモ / 巳ーちゃんさん / 巨大カンテツ
1,5,em-35e37020b193,æッシュちゃん,17,3542,2254,5,attribute_guard,0.8597,0.6042,95,5,8,いいえ,æッシュちゃん / カルボ姉（ねえ） / ジョロウグモ / 巳ーちゃんさん / 巨大カンテツ
1,6,em-ec52e54bb473,ﾀｰｷｰﾃﾞ-なじとっこ君,10,706,2403,4,attack_buff,0.8514,0.5556,99,1,8,いいえ,ﾀｰｷｰﾃﾞ-なじとっこ君 / カルボ姉（ねえ） / あっぴーちゃん / バターリャ後悔王子 / レブカ大先生
1,7,em-0183a7a13db2,かーたん・べーり,32,4089,4089,5,attribute_guard,0.846,0.625,96,4,8,いいえ,かーたん・べーり / 地獄雀！阿蘇さん / 七夕星人☆たたるんるん / 夜魔・マヤー / 巨大カンテツ
1,8,em-fbc61d7306d8,ネ申・ぎょざる,11,1198,1204,6,aoe_attack,0.8456,0.6111,98,2,8,いいえ,ネ申・ぎょざる / 北間・クラリス嬢 / ハンドさんは泳がない / 巳ーちゃんさん / 巨大カンテツ
1,9,em-d09d2f80d34e,トマティーナ少佐,16,3748,2130,2,multi_hit_attack,0.8425,0.5903,98,2,8,いいえ,トマティーナ少佐 / 解決猫キャット / ハンドさんは泳がない / 巳ーちゃんさん / 巨大カンテツ
1,10,em-cb9a138787d0,摩陀羅　潮真,27,7194,1741,2,attribute_guard,0.8424,0.6042,100,0,8,いいえ,摩陀羅　潮真 / ばけごろう / 七夕星人☆たたるんるん / 夜魔・マヤー / ハル先輩
