枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-d5ed773d56cd,夏至祭のヴァサクサ君,18,3976,2156,2,skill_reduction,0.8189,0.5972,96,4,8,いいえ,夏至祭のヴァサクサ君 / カルボ姉（ねえ） / ジョロウグモ / 巳ーちゃんさん / 巨大カンテツ
1,2,em-df40dba7c56a,高野さん,34,4089,4089,5,skill_reduction,0.8075,0.625,100,0,8,いいえ,高野さん / カルボ姉（ねえ） / あっぴーの外出 / むぅむぅ / 鳴子ちゃん
1,3,em-814b464a2192,ナナホシ,50,5044,5044,3,skill_reduction,0.8004,0.5694,99,1,8,いいえ,ナナホシ / ペーチパイセン / 七夕星人☆たたるんるん / 夜魔・マヤー / おこしんMK-2
1,4,em-7c0ef69518eb,有砂小町２ＰＣ,40,5112,5112,4,delay,0.7992,0.5208,88,12,8,いいえ,有砂小町２ＰＣ / カルボ姉（ねえ） / かずらさん / ちわっしータミ / 夜魔・マヤー
1,5,em-4e3940289203,スーパー軍師兵衛ズ,60,7838,2385,3,skill_reduction,0.7917,0.5069,98,2,8,いいえ,スーパー軍師兵衛ズ / 北間・クラリス嬢 / ジョロウグモ / 雨降る倉敷のみかん姐 / 鳴子ちゃん
1,6,em-ab9b2ce76191,B・O・B,37,4935,3244,3,delay,0.788,0.5833,95,5,8,いいえ,B・O・B / カルボ姉（ねえ） / 七夕星人☆たたるんるん / 夜魔・マヤー / おこしんMK-2
1,7,em-f3861e35df6f,暗黒王まはーかーらん,47,3731,3926,4,delay,0.7874,0.5486,100,0,8,いいえ,暗黒王まはーかーらん / カルボ姉（ねえ） / あっぴーの外出 / 夜魔・マヤー / おこしんMK-2
1,8,em-433922ef3e4e,夏至祭のぺた也君,53,7266,2153,2,skill_reduction,0.7865,0.5625,100,0,8,いいえ,夏至祭のぺた也君 / カルボ姉（ねえ） / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / わんこースそば / 夜魔・マヤー
1,9,em-39a2f0d8ec72,ロードスのエルフ騎士,44,4430,5623,6,skill_reduction,0.7824,0.5417,95,5,8,いいえ,ロードスのエルフ騎士 / ペーチパイセン / あっぴーの外出 / ちわっしータミ / 巨大カンテツ
1,10,em-760bb0daf1c9,ゲキ悪オヤジ(神),53,5112,5112,6,delay,0.7809,0.5,100,0,8,いいえ,ゲキ悪オヤジ(神) / カルボ姉（ねえ） / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / わんこースそば / 夜魔・マヤー
1,11,em-abcae044297d,ラ・ショー・ドさん,44,5453,3424,5,delay,0.7779,0.5833,97,3,8,いいえ,ラ・ショー・ドさん / カルボ姉（ねえ） / あっぴーの外出 / 夜魔・マヤー / おこしんMK-2
1,12,em-3e2d46063b3e,なっとくん様,70,8026,4618,1,skill_reduction,0.7775,0.4653,98,2,7,いいえ,なっとくん様 / ペーチパイセン / デンマーくん三世 / くまのたん / 唸る！叡智通
1,13,em-7547c480c963,ウミユリーず,60,4430,6475,5,skill_reduction,0.7704,0.4375,100,0,8,いいえ,ウミユリーず / カルボ姉（ねえ） / かずらさん / わんこースそば / 夜魔・マヤー
1,14,em-e394b3795363,伝説の少女キャンディ,50,5507,5507,7,skill_reduction,0.7599,0.5139,99,1,8,いいえ,伝説の少女キャンディ / ペーチパイセン / 七夕星人☆たたるんるん / 夜魔・マヤー / おこしんMK-2
1,15,em-682cda3863fb,脱力コンビあろま＆るる,48,3067,5623,2,skill_reduction,0.7546,0.5278,99,1,8,いいえ,脱力コンビあろま＆るる / カルボ姉（ねえ） / かずらさん / 夜魔・マヤー / 巨大カンテツ
1,16,em-039b9996f6f0,おろろセット先輩,45,1363,5623,5,delay,0.749,0.5764,100,0,8,いいえ,おろろセット先輩 / カルボ姉（ねえ） / 七夕星人☆たたるんるん / 夜魔・マヤー / 唸る！叡智通
1,17,em-d020ce26e899,ＴＡＳマニア先輩,40,5964,3418,3,skill_reduction,0.744,0.5556,100,0,8,いいえ,ＴＡＳマニア先輩 / 地獄雀！阿蘇さん / 七夕星人☆たたるんるん / ウサポワンちゃん / 鳴子ちゃん
1,18,em-c545b5a51997,トリニダの怪人,13,4077,1057,2,skill_reduction,0.7331,0.5972,100,0,8,いいえ,トリニダの怪人 / 北間・クラリス嬢 / ハンドさんは泳がない / 夜魔・マヤー / レブカ大先生
1,19,em-ea813aee5d92,ブラジリアン首都術,8,1812,1963,4,aoe_attack,0.7327,0.5278,98,2,8,いいえ,ブラジリアン首都術 / ばけごろう / ジョロウグモ / 巳ーちゃんさん / 巨大カンテツ
1,20,em-681c8662f2b6,まさか殿(ｼﾞｬｰｼﾞ),55,6475,3748,6,delay,0.7306,0.4097,96,4,8,いいえ,まさか殿(ｼﾞｬｰｼﾞ) / カルボ姉（ねえ） / 覚醒けいび / さんとくん大先生 / 唸る！叡智通
1,21,em-f9fcb91b983d,アエネウスと弟くん,60,4175,4175,0,damage_reduction,0.7249,0.5972,100,0,8,いいえ,アエネウスと弟くん / カルボ姉（ねえ） / ヤル気勢！うっす様 / くまのたん / 鳴子ちゃん
1,22,em-5d34c0af44dd,白兎神★ばうあー,72,3878,5487,3,skill_reduction,0.7226,0.3472,98,2,7,いいえ,白兎神★ばうあー / 解決猫キャット / かずらさん / 夜魔・マヤー / 鳴子ちゃん
1,23,em-981bf693e8c3,メガネパンダ系の何か,19,2576,2415,6,skill_reduction,0.7193,0.5764,97,3,8,いいえ,メガネパンダ系の何か / カルボ姉（ねえ） / ジョロウグモ / 巳ーちゃんさん / 巨大カンテツ
1,24,em-0183a7a13db2,かーたん・べーり,32,4089,4089,5,attribute_guard,0.717,0.625,96,4,8,いいえ,かーたん・べーり / 地獄雀！阿蘇さん / 七夕星人☆たたるんるん / 夜魔・マヤー / 巨大カンテツ
1,25,em-d25a7727f654,プラハ嬢,32,1482,4991,4,damage_reduction,0.7129,0.5903,98,2,8,いいえ,プラハ嬢 / カルボ姉（ねえ） / あっぴーちゃん / むぅむぅ / 巨大カンテツ
1,26,em-cf1f3fbef79d,紅玉の供犠ぴよ子,6,1609,1609,0,none,0.7125,0.5833,85,15,8,いいえ,紅玉の供犠ぴよ子 / 北間・クラリス嬢 / ハンドさんは泳がない / むぅむぅ / 夜魔・マヤー
1,27,em-27802083d7f5,チュニスさん,50,5964,3919,4,skill_reduction,0.7122,0.5069,99,1,8,いいえ,チュニスさん / カルボ姉（ねえ） / ヤル気勢！うっす様 / 夜魔・マヤー / おこしんMK-2
