枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-05c5072dc080,橘の元祖☆みっちー,75,9798,4515,4,skill_reduction,0.8224,0.5278,100,0,7,いいえ,橘の元祖☆みっちー / 梨豚ぴぐぺん / ディープワン・ゴロウ / 生きろ！モア蔵 / びわ子たん
1,2,em-70a9a07ea8d9,うさ☆八幡さま,60,5964,5964,6,delay,0.8155,0.5903,97,3,8,いいえ,うさ☆八幡さま / エビユルゲ大佐 / ディープワン・ゴロウ / ɚすぃとあろま？ / アグスティンさん
1,3,em-32538f7c8341,熊殺しのサンタマン,58,6560,4345,5,delay,0.8033,0.6042,100,0,8,いいえ,熊殺しのサンタマン / 欣喜ぴよ子 / ディープワン・ゴロウ / ɚすぃとあろま？ / アグスティンさん
1,4,em-a97f49a1b6e8,篠島しらす子,41,5453,2726,5,skill_reduction,0.7712,0.6181,98,2,8,いいえ,篠島しらす子 / えかちぇたん / ディープワン・ゴロウ / ɚすぃとあろま？ / アグスティンさん
1,5,em-3e2d46063b3e,なっとくん様,70,8026,4618,1,skill_reduction,0.7595,0.4653,99,1,7,いいえ,なっとくん様 / エビユルゲ大佐 / ディープワン・ゴロウ / ɚすぃとあろま？ / びわ子たん
1,6,em-05133b447edd,コメツキ,55,5453,5406,5,skill_reduction,0.7496,0.5556,100,0,8,いいえ,コメツキ / 古の才次郎先生 / ディープワン・ゴロウ / ɚすぃとあろま？ / アグスティンさん
1,7,em-37ae218b7e9e,有砂小町,40,5112,5112,7,skill_reduction,0.7399,0.5972,97,3,8,いいえ,有砂小町 / えかちぇたん / ディープワン・ゴロウ / ɚすぃとあろま？ / アグスティンさん
1,8,em-d6ea073b633e,鬼八先生,60,8861,2556,3,delay,0.7199,0.5486,99,1,8,いいえ,鬼八先生 / 欣喜ぴよ子 / エビユルゲ大佐 / ɚすぃとあろま？ / アグスティンさん
1,9,em-681c8662f2b6,まさか殿(ｼﾞｬｰｼﾞ),55,6475,3748,6,delay,0.712,0.5347,100,0,8,いいえ,まさか殿(ｼﾞｬｰｼﾞ) / 古の才次郎先生 / ディープワン・ゴロウ / ɚすぃとあろま？ / アグスティンさん
1,10,em-33880cee5e60,三貴子ツクヨミ,75,10735,4686,3,damage_reduction,0.6956,0.625,99,1,7,いいえ,三貴子ツクヨミ / 梨豚ぴぐぺん / ディープワン・ゴロウ / 生きろ！モア蔵 / はたはタン
1,11,em-cec2f0ad9373,Dr.フォックス,40,4089,4430,4,delay,0.6877,0.5625,99,1,8,いいえ,Dr.フォックス / ブルジョワジー下仁田 / 呼んでますトムさん / ɚすぃとあろま？ / アグスティンさん
1,12,em-8d38e9c3aa92,オルカアタッカー虎子,70,9202,6134,1,attack_buff,0.6804,0.5764,99,1,7,いいえ,オルカアタッカー虎子 / 梨豚ぴぐぺん / ディープワン・ゴロウ / ɚすぃとあろま？ / はたはタン
1,13,em-4c764571b9ab,お稲荷様のパシリ,47,6816,3408,1,attack_buff,0.68,0.6458,99,1,8,いいえ,お稲荷様のパシリ / ブルジョワジー下仁田 / ディープワン・ゴロウ / ɚすぃとあろま？ / アグスティンさん
1,14,em-2f36c9341591,☆龍神☆尊氏様,85,9372,5623,2,multi_hit_attack,0.6787,0.5139,100,0,4,いいえ,☆龍神☆尊氏様 / さくらこさーん / ゴロウ / コニーちゃん / ズースくん
1,15,em-ceda64319ca1,蜜香のウミリンゴ,75,8520,5453,1,attack_buff,0.6784,0.5486,99,1,7,いいえ,蜜香のウミリンゴ / 梨豚ぴぐぺん / ディープワン・ゴロウ / 松浦凜子 / びわ子たん
1,16,em-95e1d74be5b6,Ｈ・Ｆ・ウーマン,47,6305,3748,2,guard,0.6732,0.625,99,1,8,いいえ,Ｈ・Ｆ・ウーマン / ブルジョワジー下仁田 / ディープワン・ゴロウ / ɚすぃとあろま？ / アグスティンさん
1,17,em-6ceef8f285a4,可愛馬！真純ちゃん,41,5964,4566,2,multi_hit_attack,0.6706,0.6458,98,2,8,いいえ,可愛馬！真純ちゃん / えかちぇたん / ディープワン・ゴロウ / ɚすぃとあろま？ / アグスティンさん
1,18,em-a06f040c9490,冬の加奈多パレード,80,9542,5282,2,attack_buff,0.6688,0.5,100,0,5,いいえ,冬の加奈多パレード / 梨豚ぴぐぺん / ディープワン・ゴロウ / おたべくん / はたはタン
