枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-e394b3795363,伝説の少女キャンディ,50,5507,5507,7,skill_reduction,0.8409,0.6389,97,3,8,いいえ,伝説の少女キャンディ / カルボ姉（ねえ） / ジャバラ帝王 / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ネオねっつ
1,2,em-27802083d7f5,チュニスさん,50,5964,3919,4,skill_reduction,0.8043,0.6042,100,0,8,いいえ,チュニスさん / カルボ姉（ねえ） / ジャバラ帝王 / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / エンジェル美夫
1,3,em-e15fbf6ecd0c,シャーロック&エッジュ,41,4260,5112,2,skill_reduction,0.8034,0.6597,96,4,8,いいえ,シャーロック&エッジュ / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ぜんまる
1,4,em-760bb0daf1c9,ゲキ悪オヤジ(神),53,5112,5112,6,delay,0.8003,0.6111,100,0,8,いいえ,ゲキ悪オヤジ(神) / どんこ太郎 / ジャバラ帝王 / ɚすぃとLulu？ / エンジェル美夫
1,5,em-681c8662f2b6,まさか殿(ｼﾞｬｰｼﾞ),55,6475,3748,6,delay,0.7684,0.5903,99,1,7,いいえ,まさか殿(ｼﾞｬｰｼﾞ) / どんこ太郎 / ジャバラ帝王 / ɚすぃとLulu？ / ネオねっつ
1,6,em-70a9a07ea8d9,うさ☆八幡さま,60,5964,5964,6,delay,0.7656,0.5278,100,0,7,いいえ,うさ☆八幡さま / けるるんぱさらん / ジャバラ帝王 / 地味に変な大仏 / ネオねっつ
1,7,em-ffde6d61f228,有頂天☆安倍晴明,45,3936,4771,5,skill_reduction,0.7633,0.6458,100,0,7,いいえ,有頂天☆安倍晴明 / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ぜんまる
1,8,em-4a7831bec582,春の音連れ,66,10906,3748,6,skill_reduction,0.7562,0.4931,99,1,7,いいえ,春の音連れ / 伝説のビスカやん！ / ジャバラ帝王 / たこ焼きーナ師匠 / ネオねっつ
1,9,em-05c5072dc080,橘の元祖☆みっちー,75,9798,4515,4,skill_reduction,0.7537,0.4236,100,0,5,いいえ,橘の元祖☆みっちー / どんこ太郎 / ジャバラ帝王 / 地味に変な大仏 / ぜんまる
1,10,em-8d98226e5962,玉稜の首領・たまうー,29,3067,4260,4,delay,0.747,0.7222,99,1,8,いいえ,玉稜の首領・たまうー / カルボ姉（ねえ） / ɚすぃとあろま？ / ɚすぃとLulu？ / ヤック(中の人)
