枠,実戦採用順位,単体貢献順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,機会勝率差,安定補正後差,同一4枠差し替え勝率差,差し替え安定補正後差,候補勝率,代替勝率,候補デッキ,代替デッキ,同一4枠差し替えデッキ,評価状態
1,1,2,em-f9fcb91b983d,アエネウスと弟くん,60,4175,4175,0,damage_reduction,-0.0208,-0.0706,0.1944,0.1317,0.8611,0.8819,アエネウスと弟くん / 地獄雀！阿蘇さん / 烏枢さま降臨！ / 大森銀さん / 草カロ四朗,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / 地獄雀！阿蘇さん / 烏枢さま降臨！ / 大森銀さん / 草カロ四朗,complete
1,2,10,em-654601ffb56d,スースちゃん,15,1132,2265,0,damage_reduction,-0.0417,-0.0979,0.0486,0.0063,0.8403,0.8819,スースちゃん / 壺風味の何か / もん親方 / 漆黒及び純白のポワン / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,????? / 壺風味の何か / もん親方 / 漆黒及び純白のポワン / いーびルン,complete
1,3,1,em-962f1faafed7,三貴子アマテラス,75,10309,5112,5,revive,-0.1042,-0.1648,0.2014,0.1324,0.7778,0.8819,三貴子アマテラス / ペーチパイセン / 愛のぴよ子 / くーちゃん / 玄武けいび,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / ペーチパイセン / 愛のぴよ子 / くーちゃん / 玄武けいび,complete
1,4,9,em-cc1dd429dace,?????,58,4171,4737,1,damage_reduction,-0.1042,-0.1711,0.0694,0.0216,0.7778,0.8819,????? / ペーチパイセン / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / 夜魔・マヤー / ネオけいび,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / ペーチパイセン / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / 夜魔・マヤー / ネオけいび,complete
1,5,5,em-d7873747b412,藤のフヒッティ,75,10735,3578,1,damage_reduction,-0.1806,-0.2417,0.1389,0.0627,0.7014,0.8819,藤のフヒッティ / ペーチパイセン / デンマーくん / 愛のぴよ子 / 唸る！叡智通,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / ペーチパイセン / デンマーくん / 愛のぴよ子 / 唸る！叡智通,complete
1,6,7,em-0e768525b557,ヘラクレス先輩,70,5885,6230,4,multi_hit_attack,-0.1875,-0.2501,0.0972,0.0331,0.6944,0.8819,ヘラクレス先輩 / ペーチパイセン / 愛のぴよ子 / くーちゃん / おこしんMK-2,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / ペーチパイセン / 愛のぴよ子 / くーちゃん / おこしんMK-2,complete
1,7,3,em-a8e1bfbd68cd,秋のタツタちゃん,80,10224,4771,4,multi_hit_attack,-0.25,-0.317,0.1528,0.0874,0.6319,0.8819,秋のタツタちゃん / かずらちゃん / デンマーくん三世 / わんこースそば / 唸る！叡智通,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / かずらちゃん / デンマーくん三世 / わんこースそば / 唸る！叡智通,complete
1,8,4,em-a78326864213,発音王・S・サイアン,88,10650,6560,8,attack_buff,-0.2639,-0.3332,0.1389,0.0741,0.6181,0.8819,発音王・S・サイアン / かずらちゃん / デンマーくん / くーさん / 芳一くん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,閃きのヒラメちゃん / かずらちゃん / デンマーくん / くーさん / 芳一くん,complete
1,9,8,em-bdcce3725e8b,修験鬼ギュウちゃん,85,9372,5453,1,damage_reduction,-0.3264,-0.3982,0.1042,0.0315,0.5556,0.8819,修験鬼ギュウちゃん / 解決猫キャット / あっぴーちゃん / わんこースそば / S.K.O.Tちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / 解決猫キャット / あっぴーちゃん / わんこースそば / S.K.O.Tちゃん,complete
1,10,6,em-370ba5df8d09,悪霊狩人ちび大助,81,8776,5879,5,multi_hit_attack,-0.3333,-0.4061,0.1181,0.0459,0.5486,0.8819,悪霊狩人ちび大助 / 覚醒けいび / あっぴーちゃん / くーちゃん / 唸る！叡智通,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / 覚醒けいび / あっぴーちゃん / くーちゃん / 唸る！叡智通,complete
