枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,機会勝率差,安定補正後差,候補勝率,代替勝率,候補デッキ,代替デッキ,評価状態
1,1,em-ee43bce0e25f,vにゅーさん,51,3567,5271,1,damage_reduction,0.0069,-0.0544,0.7569,0.75,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,非伝説の潮真 / 素敵なステチュさん / 広報担当：アッシュ / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,complete
1,2,em-814e01d05463,非伝説の潮真,60,7535,2423,1,attribute_guard,-0.0069,-0.0683,0.75,0.7569,非伝説の潮真 / 素敵なステチュさん / 広報担当：アッシュ / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,complete
1,3,em-a7fc49aa8c73,広報担当：アッシュ,37,5112,3748,2,attribute_guard,0.0069,-0.0652,0.7361,0.7292,広報担当：アッシュ / ヤマさんヤミーさん / ハバキたん / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,エーランドちゃん / ヤマさんヤミーさん / 鮫男子・ニタりん / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,complete
1,4,em-c1bbe00e5d61,ジョンは時を知らない,48,4771,3493,0,attack_buff,-0.0278,-0.0909,0.7292,0.7569,ジョンは時を知らない / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,complete
1,5,em-8476f5773554,エーランドちゃん,30,6070,2160,7,delay,-0.0278,-0.0909,0.7292,0.7569,エーランドちゃん / ヤマさんヤミーさん / 鮫男子・ニタりん / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,partial-skill-support
1,6,em-aefb52be8eca,半間鮫子,52,3411,6823,2,multi_hit_attack,-0.0556,-0.1157,0.7014,0.7569,半間鮫子 / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,complete
1,7,em-cea68c425163,跛荒の鉄男大先生,51,4686,6625,3,multi_hit_attack,-0.0556,-0.1195,0.7014,0.7569,跛荒の鉄男大先生 / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,complete
1,8,em-3c2628783368,すまぁとヤスマサニキ,50,4260,5623,2,attack_buff,-0.0556,-0.1208,0.7014,0.7569,すまぁとヤスマサニキ / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,complete
1,9,em-3111e08d3ca9,ヒラズゲンセイ,40,6134,3067,0,guard,-0.0556,-0.122,0.7014,0.7569,ヒラズゲンセイ / vにゅーさん / 広報担当：アッシュ / ヨーコ須賀パイセン / わっしょいミカ先生,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,complete
1,10,em-7f6d8a20493b,寝起きのクラリス,60,7668,1704,0,heal,-0.0556,-0.1183,0.7014,0.7569,寝起きのクラリス / ヤマさんヤミーさん / 広報担当：アッシュ / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,complete
1,11,em-f2a813466bbe,The★Youなリバ子,50,5770,3113,0,heal,-0.0625,-0.1231,0.6944,0.7569,The★Youなリバ子 / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,complete
1,12,em-57dce5f944a3,うらうらら,50,4260,6390,4,multi_hit_attack,-0.0625,-0.1257,0.6944,0.7569,うらうらら / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,complete
1,13,em-de36aab296aa,月下皇帝ランたん様,50,3150,5367,3,revive,-0.0625,-0.1244,0.6944,0.7569,月下皇帝ランたん様 / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / Ｈ・Ｆ・ウーマン,vにゅーさん / ｼｬﾐｯ子！シャーミー君 / 広報担当：アッシュ / バターリャ後悔王子 / 熱ぅい！地獄雀,complete
