枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,機会勝率差,安定補正後差,候補勝率,代替勝率,候補デッキ,代替デッキ,評価状態
1,1,em-285a6b18bfb1,いろはの曙ちゃん,18,2705,2705,0,heal,0.0494,-0.0155,0.8203,0.7708,いろはの曙ちゃん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 首領子襲来!!,イーネちゃんの舟屋 / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 実はこんにゃくちゃん,complete
1,2,em-db1935c2a136,コーベリアル公爵,10,1229,1173,1,attribute_guard,-0.014,-0.0809,0.7291,0.7431,コーベリアル公爵 / イシマンガリソ先輩 / すわ子isGOD！ / 漆黒及び純白のポワン / 実はこんにゃくちゃん,いろはの曙ちゃん / 水海　月 / すわ子isGOD！ / 漆黒及び純白のポワン / 実はこんにゃくちゃん,complete
1,3,em-5cd1890be20b,イーネちゃんの舟屋,41,3748,4771,1,guard,-0.0494,-0.1143,0.7708,0.8203,イーネちゃんの舟屋 / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 実はこんにゃくちゃん,いろはの曙ちゃん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 首領子襲来!!,complete
1,4,em-438753e77e6c,デロスの月陽姉弟,41,3237,5453,2,heal,-0.0633,-0.1238,0.7569,0.8203,デロスの月陽姉弟 / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 実はこんにゃくちゃん,いろはの曙ちゃん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 首領子襲来!!,complete
1,5,em-c4c6b3b17960,青コリくんは怒らない,24,2350,3834,0,damage_reduction,-0.0703,-0.1244,0.75,0.8203,青コリくんは怒らない / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 秋田世界発見伝,いろはの曙ちゃん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 首領子襲来!!,complete
1,6,em-e4561d587562,幼心のデメ子さん,25,3178,4089,1,attribute_change,-0.0632,-0.1251,0.7571,0.8203,幼心のデメ子さん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 秋田世界発見伝,いろはの曙ちゃん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 首領子襲来!!,complete
1,7,em-814151a5ca65,登別ッキー,35,2556,6134,2,skill_reduction,-0.0633,-0.1254,0.7569,0.8203,登別ッキー / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 梵天。,いろはの曙ちゃん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 首領子襲来!!,partial-skill-support
1,8,em-4ae7fba92e2c,アデヤッコちゃん,27,2351,2556,0,attribute_change,-0.0841,-0.1263,0.7361,0.8203,アデヤッコちゃん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 秋田世界発見伝,いろはの曙ちゃん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 首領子襲来!!,complete
1,9,em-23b2ea75fccd,金野デメ子さん,39,4430,5112,0,attribute_change,-0.0633,-0.1279,0.7569,0.8203,金野デメ子さん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 実はこんにゃくちゃん,いろはの曙ちゃん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 首領子襲来!!,complete
1,10,em-0e45f68a7bc6,ツノザヤ君は腕ﾌﾘﾁｭｳ,27,34,2688,0,damage_reduction,-0.0841,-0.1333,0.7361,0.8203,ツノザヤ君は腕ﾌﾘﾁｭｳ / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 秋田世界発見伝,いろはの曙ちゃん / コーベリアル公爵 / すわ子isGOD！ / 漆黒及び純白のポワン / 首領子襲来!!,complete
