枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,機会勝率差,安定補正後差,候補勝率,代替勝率,候補デッキ,代替デッキ,評価状態
1,1,em-d77542ffe604,?????,42,6475,3067,2,attack_buff,0.0069,-0.0489,0.7569,0.75,????? / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,ダリア・宮子・9 / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,complete
1,2,em-0784bb7beecf,ダリア・宮子・9,42,4771,4089,0,heal,-0.0069,-0.0628,0.75,0.7569,ダリア・宮子・9 / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,????? / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,complete
1,3,em-4784572b893f,シントラーのリスボン,32,5680,3786,0,attribute_change,-0.0208,-0.0722,0.7361,0.7569,シントラーのリスボン / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / わっしょいミカ先生,????? / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,complete
1,4,em-7419b64dec0e,天の飛龍巻,42,5623,3748,2,attribute_change,-0.0231,-0.0602,0.7338,0.7569,天の飛龍巻 / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,????? / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,complete
1,5,em-7f6d8a20493b,寝起きのクラリス,60,7668,1704,0,heal,-0.0278,-0.0946,0.7292,0.7569,寝起きのクラリス / コロちゃん / 明日香大明神 / ＢＥＷ雪玉 / 勇者オトシゴ,????? / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,complete
1,6,em-82e855b7910f,栗林掬太郎,33,5453,2385,4,heal,-0.0345,-0.0873,0.7224,0.7569,栗林掬太郎 / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / わっしょいミカ先生,????? / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,complete
1,7,em-7a5551d5b1ab,琉球童子☆万太郎,42,4260,5623,0,attribute_change,-0.0352,-0.1025,0.7217,0.7569,琉球童子☆万太郎 / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,????? / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,complete
1,8,em-3740a2113341,ぴぐぺん選手,22,950,3220,0,attribute_guard,-0.0417,-0.1034,0.7153,0.7569,ぴぐぺん選手 / 中央アルプスの少女達 / 尾索戦隊ｻﾙﾊﾟﾝｼﾞｬｰ / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,????? / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,complete
1,9,em-285a6b18bfb1,いろはの曙ちゃん,18,2705,2705,0,heal,-0.0416,-0.1071,0.7153,0.7569,いろはの曙ちゃん / コロちゃん / サモスのヘラ / ダル飯☆杏 / 勇者オトシゴ,????? / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,complete
1,10,em-f5955c15b029,ばんば新年2026,60,7668,3438,1,attack_buff,-0.043,-0.101,0.7139,0.7569,ばんば新年2026 / コロちゃん / 明日香大明神 / ＢＥＷ雪玉 / 勇者オトシゴ,????? / 元キャプテン・hɔーク / 明日香大明神 / ゴッホさんとおこﾀﾞﾘｱ / 勇者オトシゴ,complete
