枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,機会勝率差,安定補正後差,候補勝率,代替勝率,候補デッキ,代替デッキ,評価状態
1,1,em-c70398ce7406,讃岐・S.K.O.T神,9,2106,493,3,heal,0.0059,-0.0652,0.6795,0.6736,讃岐・S.K.O.T神 / ペーチパイセン / 三貴子ツクヨミ / タミちゃん / 芳一くん,タッセル君 / カルボ姉（ねえ） / 祭り始めの蟹男 / 巳ーちゃんさん / 腹話フック,complete
1,2,em-a35460d4d780,タッセル君,12,1551,1551,0,damage_reduction,-0.0059,-0.0769,0.6736,0.6795,タッセル君 / カルボ姉（ねえ） / 祭り始めの蟹男 / 巳ーちゃんさん / 腹話フック,讃岐・S.K.O.T神 / ペーチパイセン / 三貴子ツクヨミ / タミちゃん / 芳一くん,complete
1,3,em-7db26a11a40b,ぐっすん,4,195,407,2,attack_buff,-0.0128,-0.0875,0.6667,0.6795,ぐっすん / カルボ姉（ねえ） / ダヴィアさん / 時のプラズマ / 都会の貴腐人,讃岐・S.K.O.T神 / ペーチパイセン / 三貴子ツクヨミ / タミちゃん / 芳一くん,complete
1,4,em-a03649b8e724,巨大カンテツ,15,3220,3220,5,heal,-0.0267,-0.091,0.6528,0.6795,巨大カンテツ / 大晦日のネギそば給仕少女 / 祭り始めの蟹男 / 時のプラズマ / くーにょん,讃岐・S.K.O.T神 / ペーチパイセン / 三貴子ツクヨミ / タミちゃん / 芳一くん,complete
1,5,em-2449b6ff9d58,スマトラのウータン,12,2703,657,2,attribute_change,-0.0198,-0.0917,0.6597,0.6795,スマトラのウータン / カルボ姉（ねえ） / 祭り始めの蟹男 / 巳ーちゃんさん / 腹話フック,讃岐・S.K.O.T神 / ペーチパイセン / 三貴子ツクヨミ / タミちゃん / 芳一くん,complete
1,6,em-aae1801458f8,ɚすぃとあろま？,12,3748,681,3,guard,-0.0198,-0.0928,0.6597,0.6795,ɚすぃとあろま？ / カルボ姉（ねえ） / 祭り始めの蟹男 / 肉食ドゥブロさん / いーびルン,讃岐・S.K.O.T神 / ペーチパイセン / 三貴子ツクヨミ / タミちゃん / 芳一くん,complete
1,7,em-d1a3ff650b2f,メテオ大好きっこ,26,4669,3229,0,attack_buff,-0.0198,-0.0953,0.6597,0.6795,メテオ大好きっこ / 二条城☆浴衣モード / 乗り海苔カスティリャ / ɚすぃとLulu？ / にほりん,讃岐・S.K.O.T神 / ペーチパイセン / 三貴子ツクヨミ / タミちゃん / 芳一くん,complete
1,8,em-e6496091dd0f,シャーミーくん,20,2948,2556,1,attack_buff,-0.0337,-0.0959,0.6458,0.6795,シャーミーくん / ペーチパイセン / 祭り始めの蟹男 / Ｈ・Ｆ・ウーマン / くーにょん,讃岐・S.K.O.T神 / ペーチパイセン / 三貴子ツクヨミ / タミちゃん / 芳一くん,complete
1,9,em-3113f1eef9dc,棚田さん,10,2058,662,0,heal,-0.0198,-0.0972,0.6597,0.6795,棚田さん / カルボ姉（ねえ） / 祭り始めの蟹男 / 巳ーちゃんさん / 腹話フック,讃岐・S.K.O.T神 / ペーチパイセン / 三貴子ツクヨミ / タミちゃん / 芳一くん,complete
1,10,em-41f8257ca22d,ふわふわさん,10,2839,1134,6,skill_reduction,-0.0267,-0.098,0.6528,0.6795,ふわふわさん / カルボ姉（ねえ） / 祭り始めの蟹男 / 巳ーちゃんさん / 腹話フック,讃岐・S.K.O.T神 / ペーチパイセン / 三貴子ツクヨミ / タミちゃん / 芳一くん,partial-skill-support
