枠,実戦採用順位,単体貢献順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,機会勝率差,安定補正後差,同一4枠差し替え勝率差,差し替え安定補正後差,候補勝率,代替勝率,候補デッキ,代替デッキ,同一4枠差し替えデッキ,評価状態
1,1,1,em-1c71acfdc139,星の白金ぴよ子,5,999,999,0,none,0.0069,-0.0227,0.0208,0.0057,0.8958,0.8889,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,タキシラ師匠 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,皐月ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,complete
1,2,2,em-cd0a21cda0bb,タキシラ師匠,6,1861,733,0,heal,-0.0069,-0.0366,0.0069,-0.013,0.8889,0.8958,タキシラ師匠 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,complete
1,3,3,em-0f41288ed104,青玉の供犠ぴよ子,6,1609,1609,0,none,-0.0139,-0.0558,0.0069,-0.0199,0.8819,0.8958,青玉の供犠ぴよ子 / 叶う！クルス様 / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,タキシラ師匠 / 叶う！クルス様 / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,complete
1,4,4,em-97272e288cf7,ホークくん,6,500,750,1,attribute_guard,-0.0208,-0.0443,-0.0139,-0.0391,0.875,0.8958,ホークくん / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,タキシラ師匠 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,complete
1,5,5,em-8c223847d1b4,皐月ぴよ子,5,555,555,0,none,-0.0208,-0.036,-0.0208,-0.036,0.875,0.8958,皐月ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,complete
1,6,6,em-28f044d525d7,スーリヤ様が見てる,7,489,1446,3,skill_reduction,-0.0278,-0.0585,-0.0208,-0.053,0.8681,0.8958,スーリヤ様が見てる / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,タキシラ師匠 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,partial-skill-support
1,7,8,em-8060e6a7ab61,戸隠ちび丸,4,150,700,3,attack_buff,-0.0347,-0.0639,-0.0278,-0.0585,0.8611,0.8958,戸隠ちび丸 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,タキシラ師匠 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,complete
1,8,7,em-091b1c77c643,戸隠ちび蔵,6,150,950,3,attack_buff,-0.0347,-0.0639,-0.0278,-0.0585,0.8611,0.8958,戸隠ちび蔵 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,タキシラ師匠 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,complete
1,9,9,em-902df874fa74,でらマジカ,6,650,700,3,attribute_guard,-0.0347,-0.0639,-0.0278,-0.0585,0.8611,0.8958,でらマジカ / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,タキシラ師匠 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,complete
1,10,10,em-b54c325797a5,フク先生,6,600,700,3,attribute_change,-0.0347,-0.0639,-0.0278,-0.0585,0.8611,0.8958,フク先生 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,星の白金ぴよ子 / 元キャプテン・hɔーク / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,タキシラ師匠 / スウェルくん / ????? / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / ロータス先輩,complete
