枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,機会勝率差,安定補正後差,候補勝率,代替勝率,候補デッキ,代替デッキ,評価状態
1,1,em-459f1ecad59a,電波姫☆いまりちゃん,28,3919,4260,4,delay,0.0069,-0.0557,0.7361,0.7292,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,スクナクナクナクス / ペーチパイセン / メル子大先生 / 明日香大明神 / ロータス先輩,partial-skill-support
1,2,em-d4cbd1f4bbbf,ハラショー☆ビッツェ,13,1689,1057,0,multi_hit_attack,-0.0069,-0.0696,0.7292,0.7361,ハラショー☆ビッツェ / ペーチパイセン / ????? / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,3,em-378e340695dc,スクナクナクナクス,50,6816,3408,2,aoe_attack,-0.0069,-0.0696,0.7292,0.7361,スクナクナクナクス / ペーチパイセン / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,4,em-4c764571b9ab,お稲荷様のパシリ,47,6816,3408,1,attack_buff,-0.0208,-0.0834,0.7153,0.7361,お稲荷様のパシリ / ペーチパイセン / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,5,em-aa756f8a10dc,ラグーン☆南,22,2718,3473,2,attribute_change,-0.0208,-0.0859,0.7153,0.7361,ラグーン☆南 / ペーチパイセン / ICHIKIの音楽祭 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,6,em-e5f6732bdd63,ラプンツェル・アユ,48,6816,3921,1,attribute_change,-0.0278,-0.0897,0.7083,0.7361,ラプンツェル・アユ / ペーチパイセン / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,7,em-3740a2113341,ぴぐぺん選手,22,950,3220,0,attribute_guard,-0.0278,-0.1004,0.7083,0.7361,ぴぐぺん選手 / さくらこはダムです / ポディアさま / クレリゴス子様 / ガハラさん,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,8,em-3c2d84f01c84,休憩。蟹男,35,6105,2726,2,guard,-0.0417,-0.1046,0.6944,0.7361,休憩。蟹男 / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,9,em-f2a813466bbe,The★Youなリバ子,50,5770,3113,0,heal,-0.0417,-0.1071,0.6944,0.7361,The★Youなリバ子 / ペーチパイセン / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,10,em-f46ba2125449,黍deギャリソン,20,3020,1963,1,heal,-0.0486,-0.1082,0.6875,0.7361,黍deギャリソン / ペーチパイセン / 鹿喰らいの狼マン / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,11,em-bbce42d72486,東がエデン,50,5112,5112,0,attribute_change,-0.0486,-0.1158,0.6875,0.7361,東がエデン / ペーチパイセン / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,12,em-1d6b42059506,レーティッシュ凛子,35,5623,3229,3,attack_buff,-0.0486,-0.1158,0.6875,0.7361,レーティッシュ凛子 / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,13,em-72f5e94185a5,MAIKOちゃん,34,3834,3834,6,attribute_guard,-0.0486,-0.117,0.6875,0.7361,MAIKOちゃん / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,14,em-d7873747b412,藤のフヒッティ,75,10735,3578,1,damage_reduction,-0.0486,-0.1193,0.6875,0.7361,藤のフヒッティ / ペーチパイセン / フク先生 / おあげさん / ガハラさん,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,15,em-5981c18a4a99,オシラサマ,33,4260,3322,3,heal,-0.0556,-0.122,0.6806,0.7361,オシラサマ / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,16,em-9765b36aab39,ハズクちゃんナイトモード,33,3771,3101,3,multi_hit_attack,-0.0556,-0.122,0.6806,0.7361,ハズクちゃんナイトモード / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,17,em-e0b5c355755f,ミョイネン様,36,5180,3067,5,revive,-0.0625,-0.1231,0.6736,0.7361,ミョイネン様 / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,18,em-a7fc49aa8c73,広報担当：アッシュ,37,5112,3748,2,attribute_guard,-0.0556,-0.1232,0.6806,0.7361,広報担当：アッシュ / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,19,em-01a16cce900c,伝説のロロちゃん,35,3748,3067,5,attack_buff,-0.0556,-0.1244,0.6806,0.7361,伝説のロロちゃん / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,20,em-d941ef4d2c66,紫禁嬢,34,4692,2801,2,damage_reduction,-0.0556,-0.1244,0.6806,0.7361,紫禁嬢 / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,21,em-5bd7e19b00f4,土田野古子,31,4732,3028,0,damage_reduction,-0.0625,-0.1294,0.6736,0.7361,土田野古子 / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,22,em-0e334d0d8b75,フアイチヴ夫,37,3919,2044,0,heal,-0.0625,-0.1306,0.6736,0.7361,フアイチヴ夫 / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,23,em-7380c7ba233b,大崎どんと先輩,37,4771,3408,3,damage_reduction,-0.0625,-0.1306,0.6736,0.7361,大崎どんと先輩 / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,24,em-06a3d28ae15f,オオガラッパ,36,3783,4771,2,skill_reduction,-0.0625,-0.1306,0.6736,0.7361,オオガラッパ / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,partial-skill-support
1,25,em-d4ddef9a4e05,大ふわふわさん,36,6247,2839,4,skill_reduction,-0.0694,-0.1319,0.6667,0.7361,大ふわふわさん / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,partial-skill-support
1,26,em-ec5b8324ab06,袴着！いつくしーみん,36,3401,3401,2,attack_buff,-0.0625,-0.134,0.6736,0.7361,袴着！いつくしーみん / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,27,em-0e6d3baf12ca,ネギ少女じゅんちゃん,36,3544,3544,1,heal,-0.0625,-0.1362,0.6736,0.7361,ネギ少女じゅんちゃん / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,28,em-5d62afcf01d5,転がる！けねず君,37,3408,2044,4,damage_reduction,-0.0694,-0.138,0.6667,0.7361,転がる！けねず君 / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,29,em-bae534d22214,猫キャットとOLさん,37,3786,3786,3,delay,-0.0694,-0.138,0.6667,0.7361,猫キャットとOLさん / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,partial-skill-support
1,30,em-048f5c5385db,Mr.バトラー,34,4771,3067,1,attribute_change,-0.0694,-0.1391,0.6667,0.7361,Mr.バトラー / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,31,em-24d6f242799c,大浜美波さん,32,3748,3408,5,revive,-0.0833,-0.1399,0.6528,0.7361,大浜美波さん / 一葉ちゃんは作家さん / すわ子isGOD！ / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
1,32,em-7b76cc31326e,迷走のヴァニ江,36,4379,2505,2,damage_reduction,-0.0694,-0.1403,0.6667,0.7361,迷走のヴァニ江 / 一葉ちゃんは作家さん / メル子大先生 / 明日香大明神 / ロータス先輩,電波姫☆いまりちゃん / さくらこはダムです / メル子大先生 / 明日香大明神 / 甲羅暮らしの201号,complete
