枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,機会勝率差,安定補正後差,候補勝率,代替勝率,候補デッキ,代替デッキ,評価状態
1,1,em-1ef7fe92af87,丸見えミナレット,17,2505,852,0,aoe_attack,0.0139,-0.0494,0.7083,0.6944,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),オタテカモ次郎 / カルボ姉（ねえ） / ジャバラ帝王 / 戸定梨香 / ヤック(中の人),complete
1,2,em-cf78c5cc3134,オタテカモ次郎,28,4186,3059,2,attribute_change,-0.0139,-0.0771,0.6944,0.7083,オタテカモ次郎 / カルボ姉（ねえ） / ジャバラ帝王 / 戸定梨香 / ヤック(中の人),丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,3,em-2c08686a6d88,猿もの追い払いネキ,42,4171,3977,5,damage_reduction,-0.0139,-0.0866,0.6944,0.7083,猿もの追い払いネキ / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ネオねっつ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,4,em-2c71a7740b67,エルチェの椰子少女,42,4601,4601,5,attack_buff,-0.0139,-0.0866,0.6944,0.7083,エルチェの椰子少女 / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ネオねっつ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,5,em-67859050336b,マジ☆マシニッさん,36,4089,4430,6,multi_hit_attack,-0.0139,-0.0939,0.6944,0.7083,マジ☆マシニッさん / カルボ姉（ねえ） / ジャバラ帝王 / イタ子大師匠 / ヤック(中の人),丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,6,em-41f8257ca22d,ふわふわさん,10,2839,1134,6,skill_reduction,-0.0417,-0.1046,0.6667,0.7083,ふわふわさん / カルボ姉（ねえ） / バンクロ・フッド / ɚすぃとLulu？ / ビルカくん,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),partial-skill-support
1,7,em-5bd7e19b00f4,土田野古子,31,4732,3028,0,damage_reduction,-0.0486,-0.1134,0.6597,0.7083,土田野古子 / カルボ姉（ねえ） / ジャイアンツ★こずえ / ɚすぃとあろま？ / ゴッホさんとおこﾀﾞﾘｱ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,8,em-e8c7a220a4d9,清少納言,25,3220,1771,0,attack_buff,-0.0694,-0.1236,0.6389,0.7083,清少納言 / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ヤック(中の人),丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,9,em-45dad5139056,ベギン改・修道女,37,4565,4467,4,revive,-0.0556,-0.13,0.6528,0.7083,ベギン改・修道女 / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ネオねっつ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,10,em-7a8f08b97855,カルボ姉（ねえ）,18,3792,2556,1,multi_hit_attack,-0.0556,-0.1331,0.5625,0.6181,カルボ姉（ねえ） / けるるんぱさらん / バンクロ・フッド / ɚすぃとLulu？ / ズンビーフック,ぶりょぶりょ / 田島・ハル / ジャバラ帝王 / ɚすぃとLulu？ / ヤック(中の人),complete
1,11,em-a44b56d26d84,聖夜の又マタドーるん,45,3919,4260,1,damage_reduction,-0.0625,-0.1362,0.6458,0.7083,聖夜の又マタドーるん / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ぜんまる,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,12,em-c7bfc44f703b,輝け☆椛マン！,28,4260,3408,1,heal,-0.0694,-0.138,0.6389,0.7083,輝け☆椛マン！ / カルボ姉（ねえ） / ジャバラ帝王 / 戸定梨香 / ﾐｼｼｯぴぃ！201号,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,13,em-31f11b9a8df8,ももとふFREEダム,40,3408,4260,3,heal,-0.0694,-0.1414,0.6389,0.7083,ももとふFREEダム / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ネオねっつ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,14,em-6b89d5c1e7c1,景虎くん,8,900,900,8,aoe_attack,-0.0764,-0.1476,0.6319,0.7083,景虎くん / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ビルカくん,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,15,em-e15fbf6ecd0c,シャーロック&エッジュ,41,4260,5112,2,skill_reduction,-0.0694,-0.1478,0.6389,0.7083,シャーロック&エッジュ / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ネオねっつ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),partial-skill-support
1,16,em-eb82ebf01396,ぶりょぶりょ,16,39,2961,1,attribute_guard,-0.0903,-0.154,0.6181,0.7083,ぶりょぶりょ / 田島・ハル / ジャバラ帝王 / ɚすぃとLulu？ / ヤック(中の人),丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,17,em-9ec6297ea6ca,バスてとにゃん,38,4260,4771,3,attack_buff,-0.0764,-0.1541,0.6319,0.7083,バスてとにゃん / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ネオねっつ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,18,em-9974d2b554c4,ｼｬﾐｯ子！シャーミー君,36,4652,3919,1,attack_buff,-0.0833,-0.1571,0.625,0.7083,ｼｬﾐｯ子！シャーミー君 / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / すげェ！かるたーニャ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,19,em-7a5551d5b1ab,琉球童子☆万太郎,42,4260,5623,0,attribute_change,-0.0903,-0.1577,0.6181,0.7083,琉球童子☆万太郎 / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ネオねっつ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,20,em-501834a284b1,加賀友☆禅野さん,38,4175,4771,2,attribute_change,-0.0903,-0.1588,0.6181,0.7083,加賀友☆禅野さん / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ネオねっつ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
1,21,em-2353b8cab444,パレンケＶＲＳ改,39,5623,3386,1,damage_reduction,-0.0903,-0.1623,0.6181,0.7083,パレンケＶＲＳ改 / カルボ姉（ねえ） / ジャバラ帝王 / ɚすぃとLulu？ / ネオねっつ,丸見えミナレット / カルボ姉（ねえ） / 絶許！からっ風太郎 / ɚすぃとLulu？ / ヤック(中の人),complete
