総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,39,8,4,em-70f1d39031ed,うにうにする虎,fire_wind,MZR,50,6816,681,0,1ターンの間、水属性の敵に対する自身の攻撃力を1513%増加させる,counteraction,30,0.7333,0.5867,0.9333,1,1,0.18,0.956,0.2473,0,1.3,0.92,0.017206
2,40,13,2,em-5d696ecc61dd,カミキリ,fire,ZR,75,5845,6134,1,8ターンの間、火属性の敵に対する火属性の味方全員の攻撃力を20%増加させる,counteraction,30,0.7167,0.5631,1,0,1,0.2053,0.96,0.2756,0,1.0667,0.9699,0.018146
3,4,33,1,em-7f6d8a20493b,寝起きのクラリス,fire,MZR,60,7668,1704,0,自身のHPを60%回復する,advantage_creation,30,0.7,0.547,1,1,1,0.1907,0.924,0.2557,2.1333,0,0.9195,0.018222
4,41,26,11,em-bd7b9f8f305f,レドニツェ嬢,fire,MZR,36,6816,2556,0,1ターンの間、風属性の敵に対する自身の攻撃力を160%増加させる,counteraction,30,0.7,0.547,1,1,1,0.1867,0.9493,0.2539,0,0.4667,0.9193,0.014677
5,17,34,6,em-ccfeb40e6439,更にThe★Youなリバ子,all,MZR,50,1509,5770,0,味方全員のHPを22%回復する,advantage_creation,30,0.7,0.547,1,1,1,0.148,0.9307,0.2028,1,0,0.919,0.015883
6,42,35,13,em-49b522eac464,ジェヴォたんは狼？,all,MZR,43,3006,6022,4,3ターンの間、風属性の味方全員の攻撃が2回連続攻撃になる,counteraction,30,0.6833,0.5241,0,0,1,0.1653,0.9507,0.2269,0,0,0.9188,0.01354
7,33,36,12,em-814e01d05463,非伝説の潮真,fire_water,MZR,60,7535,2423,1,1ターンの間、水属性の攻撃を自身に集中させる(50%カット),advantage_creation,30,0.6833,0.5241,0.8667,0,1,0.1533,0.936,0.2138,0.3333,0,0.9185,0.013772
8,16,37,7,em-9b1b7dceab8e,ブダ山ペスト太郎,all,MZR,40,6305,2044,0,2ターンの間、自身にダメージを20%軽減するシールドを与える,advantage_creation,30,0.6833,0.5173,1,1,1,0.1773,0.9147,0.2393,1.0667,0,0.9183,0.015819
9,43,9,5,em-c1bbe00e5d61,ジョンは時を知らない,all,ZR,48,4771,3493,0,7ターンの間、自身の攻撃力を16%増加させる,counteraction,30,0.6667,0.5156,1,1,1,0.176,0.9493,0.2359,0,1.3,0.9689,0.016157
10,12,38,38,em-d7873747b412,藤のフヒッティ,fire_water,伝,75,10735,3578,1,3ターンの間、自身にダメージを30%軽減するシールドを与える,advantage_creation,30,0.6667,0.5085,1,0,1,0.1813,0.964,0.2464,1.4,0,0.3982,0.006809
11,6,39,3,em-37fd7478d2d8,壺風味の何か,fire,N,16,2809,888,1,3ターンの間、味方全員に火属性の敵からのダメージを20%軽減するシールドを与える,advantage_creation,30,0.65,0.4931,1,0,1,0.156,0.9373,0.2109,1.8,0,0.9998,0.017861
12,15,40,9,em-4016fa16a6ca,Dr.&萌やﾁﾝｹﾞｰﾙ,all,R,14,773,2573,1,味方全員のHPを40%回復する,advantage_creation,30,0.65,0.4862,0.5667,0,1,0.196,0.944,0.2613,1.1333,0,0.9996,0.015274
13,22,24,8,em-d932b3b4e7ed,狼先生ジョン,fire,R,18,1963,2869,1,2ターンの間、自身の属性を水属性に変更する,adaptive,30,0.65,0.4862,0.9,0,1,0.156,0.932,0.214,0.8333,0.5,0.9996,0.015818
14,3,41,10,em-2a20d82018a7,強飯式太子君,fire_water,MZR,43,4771,3408,1,火属性の味方全員のHPを40%回復する,advantage_creation,30,0.65,0.4796,1,0,1,0.2093,0.924,0.2796,2.2,0,0.9169,0.0152
15,44,32,15,em-d1a3ff650b2f,メテオ大好きっこ,fire,CR,26,4669,3229,0,2ターンの間、自身の攻撃力を10%増加させる,counteraction,30,0.65,0.4796,1,1,1,0.196,0.9267,0.2617,0,0.0667,0.9892,0.012743
16,45,31,17,em-b0a6405ce878,ヒルズキング,fire,CR,15,859,1598,1,1ターンの間、水属性の敵に対する自身の攻撃力を200%増加させる,counteraction,30,0.6333,0.478,0.6667,0,1,0.168,0.9133,0.2287,0,0.2,0.9891,0.012106
17,28,42,21,em-563e34211286,大抵カールのせい,fire_water,MZR,50,4686,5112,1,1ターンの間、味方全員にダメージを20%軽減するシールドを与える,advantage_creation,30,0.6333,0.478,1,0,1,0.156,0.9107,0.2116,0.6,0,0.9161,0.011576
18,21,43,14,em-8e1d0fa65dc4,厩戸之太子大先生,fire,CR,24,2866,2447,1,火属性の味方全員のHPを20%回復する,advantage_creation,30,0.6333,0.478,1,0,1,0.1307,0.9453,0.1802,0.8667,0,0.989,0.012912
19,8,7,37,em-daac43f51729,四悪妖・鵺,all,伝,88,9542,5964,1,1ターンの間、自身の属性を水属性に変更する,adaptive,30,0.6333,0.471,1,0,1,0.168,0.9467,0.2259,1.7333,1.3667,0.3965,0.006824
20,24,44,19,em-4d47f8a702ed,モヘン女ダロぉ,fire,MZR,47,3374,6202,1,2ターンの間、味方全員に風属性の敵からのダメージを36%軽減するシールドを与える,advantage_creation,30,0.6333,0.4644,0.9,0,1,0.1773,0.936,0.2384,0.7,0,0.9154,0.011941
21,34,45,18,em-3f58266f2bab,スカン・グ☆愛,fire,R,12,2886,890,1,2ターンの間、味方全員に水属性の敵からのダメージを24%軽減するシールドを与える,advantage_creation,30,0.6167,0.4631,0.8667,0,1,0.1467,0.9427,0.1965,0.3333,0,0.9993,0.01198
22,46,46,24,em-aeee7aac1b71,ジンジャーブレッド男,fire_wind,CR,20,4143,2440,2,1ターンの間、リーダーの攻撃力を200%増加させる,counteraction,30,0.6167,0.4561,0.1,0,1,0.1507,0.9387,0.2058,0,0,0.9888,0.010081
23,47,19,22,em-52f594fdc52e,後楽園☆池田,fire_water,ZR,43,5623,2896,1,1ターンの間、火属性の敵に対する自身の攻撃力を222%増加させる,counteraction,30,0.6167,0.4561,1,0,1,0.1493,0.928,0.2055,0,0.9333,0.967,0.011181
24,48,47,26,em-f14da6dc7d26,チャイナさん,fire,CR,15,606,1876,4,1ターンの間、自身の攻撃力を150%増加させる,counteraction,30,0.6167,0.4561,0,0,1,0.1453,0.9573,0.1997,0,0,0.9886,0.009611
25,49,17,16,em-84589d5b3594,コロちゃん,fire,N,11,1551,1551,1,5ターンの間、水属性の敵に対する味方全員の攻撃力を25%増加させる,counteraction,30,0.6167,0.4561,0.7333,0,1,0.1387,0.912,0.1918,0,0.9667,0.9995,0.012233
26,9,48,20,em-ad53908276ac,ピコ島ぴーこ,fire_wind,MZR,47,4007,5112,1,風属性の味方全員のHPを42%回復する,advantage_creation,30,0.6167,0.4493,1,0,1,0.1813,0.944,0.237,1.7333,0,0.9139,0.011775
27,25,49,67,em-bdcce3725e8b,修験鬼ギュウちゃん,fire,伝,85,9372,5453,1,1ターンの間、味方全員に水属性の敵からのダメージを44%軽減するシールドを与える,advantage_creation,30,0.6,0.4414,0.8667,0,1,0.1133,0.9387,0.1598,0.6667,0,0.3949,0.004237
28,50,50,29,em-e0dcffe4d5d0,大魔神！せいタン降臨,fire,ZR,44,2044,6305,4,3ターンの間、火属性の味方全員の攻撃力を80%増加させる,counteraction,30,0.5667,0.3925,0,0,1,0.1213,0.9107,0.1691,0,0,0.9663,0.008517
29,51,51,87,em-962f1faafed7,三貴子アマテラス,fire_water,伝,75,10309,5112,5,死亡している味方全員を20%のHPで蘇らせる,advantage_creation,30,0.5333,0.3579,0,0,1,0.1533,0.9133,0.2066,0,0,0.3945,0.003378
30,26,52,25,em-30793b1211b4,ウルルさんは役者やで,fire,R,15,1310,2189,1,1ターンの間、味方全員に風属性の敵からのダメージを60%軽減するシールドを与える,advantage_creation,30,0.5333,0.3579,0.7333,0,1,0.1467,0.9187,0.1994,0.6667,0,0.999,0.01005
31,52,53,31,em-4f0b20692fd7,コンドアーズ,fire,N,17,273,2120,3,4ターンの間、火属性の味方全員の攻撃力を40%増加させる,counteraction,30,0.5333,0.3579,0,0,1,0.1173,0.8853,0.1626,0,0,0.9994,0.00815
32,53,54,32,em-795ca1ffcb95,カム着火べあぱわー,fire,R,12,664,2355,2,1ターンの間、水属性の敵に対する自身の攻撃力を1234%増加させる,counteraction,30,0.5167,0.3507,0.0333,0,1,0.1227,0.908,0.1654,0,0,0.999,0.007924
33,54,27,76,em-ceda64319ca1,蜜香のウミリンゴ,fire_water,伝,75,8520,5453,1,5ターンの間、風属性の敵に対する味方全員の攻撃力を25%増加させる,counteraction,30,0.5167,0.3507,0.8667,0,1,0.1053,0.92,0.1466,0,0.4333,0.3937,0.003859
34,55,28,28,em-b06129e327ac,ケンＺＯ３号,fire,N,6,300,680,5,3ターンの間、自身の攻撃力を90%増加させる,counteraction,30,0.5,0.3306,0.0333,0,1,0.1227,0.908,0.1663,0,0.3333,0.9993,0.008766
35,56,18,23,em-b6adaf9bf556,こうせえっつう女中,fire_water,CR,17,805,2898,0,5ターンの間、リーダーの攻撃力を20%増加させる,counteraction,30,0.5,0.3306,1,1,1,0.112,0.9347,0.1515,0,0.9667,0.988,0.010158
36,27,55,30,em-42b503c8643c,姉上と青コリくん,fire_water,MZR,48,3322,3322,0,1ターンの間、味方全員に火属性の敵からのダメージを20%軽減するシールドを与える,advantage_creation,30,0.4833,0.3241,1,1,1,0.0907,0.9027,0.1251,0.6667,0,0.9115,0.008224
37,57,56,39,em-c8baf5b3e504,斑鳩の太子くん,fire,ZR,36,4260,2896,4,火属性の味方全員のHPを100%回復する,advantage_creation,30,0.4833,0.3241,0,0,1,0.0867,0.908,0.1224,0,0,0.965,0.006808
38,58,57,36,em-2a54c7e36890,ばん馬ばん,fire,N,4,400,250,5,1ターンの間、風属性の敵に対する自身の攻撃力を1750%増加させる,counteraction,30,0.4833,0.3108,0,0,1,0.1147,0.9027,0.1529,0,0,0.9993,0.00685
39,59,58,44,em-40bd3b1e44fa,五月病の悪魔の契約,fire_water,MZR,55,4123,4226,4,2ターンの間、水属性の味方全員の攻撃が全体攻撃になる,counteraction,30,0.4333,0.2724,0,0,1,0.0827,0.8947,0.114,0,0,0.9107,0.006073
40,60,59,42,em-fa9285840bae,白虎むりょく,all,N,4,158,149,5,1ターンの間、自身の攻撃力を100%増加させる,counteraction,30,0.4333,0.2657,0.0667,0,1,0.0667,0.872,0.095,0,0,0.9992,0.006483
41,61,60,49,em-e121ae05cb4a,戦国ドラグーン,fire,MZR,32,3919,5112,0,2ターンの間、自身の属性を火属性に変更する,adaptive,4,0.5,0,0,1,1,0.16,0.8,0.2198,0,0,0.9103,0.005523
42,62,61,47,em-85dad7ff7aa2,ディヤの魔人,fire,CR,18,2385,1704,2,火属性の味方全員のHPを70%回復する,advantage_creation,4,0.5,0,0,0,1,0.16,0.77,0.2193,0,0,0.9876,0.00583
43,63,62,48,em-67859050336b,マジ☆マシニッさん,fire_wind,ZR,36,4089,4430,6,3ターンの間、味方全員の攻撃が4回連続攻撃になる,counteraction,4,0.5,0,0,0,1,0.16,0.79,0.2178,0,0,0.9642,0.005538
44,64,63,50,em-d8d7722f9f21,赤パジャマさん,fire_wind,CR,20,2240,3262,5,1ターンの間、水属性の攻撃を自身に集中させる(98%カット),advantage_creation,4,0.5,0,0,0,1,0.13,0.91,0.1834,0,0,0.9874,0.005519
45,65,64,56,em-54cb13a72721,不思議の海のモヅルン,fire_water,MZR,60,6475,4941,3,1ターンの間、風属性の攻撃を自身に集中させる(92%カット),advantage_creation,4,0.5,0,0,0,1,0.13,0.86,0.1834,0,0,0.9093,0.004945
46,66,65,55,em-ac3306faeab5,マサムネーダー,fire,ZR,32,3919,5112,1,1ターンの間、味方全員の属性を火属性に変更する,adaptive,4,0.5,0,0.5,0,1,0.13,0.82,0.1812,0,0,0.9638,0.0051
47,67,66,53,em-0063b3d17f76,玄武むりょく,all,N,4,165,165,6,2ターンの間、味方全員にダメージを30%軽減するシールドを与える,advantage_creation,4,0.5,0,0,0,1,0.13,0.85,0.1734,0,0,0.9991,0.005145
48,68,67,62,em-b7d1205bd3a7,すーぱーサイアン,fire_water,MZR,60,5964,5964,12,1ターンの間、自身の攻撃力を99999%増加させる,counteraction,4,0.5,0,0,0,1,0.12,0.82,0.1718,0,0,0.9085,0.004554
49,72,72,60,em-25fed9fde1ce,かっさーWoo！,fire_water,N,16,1131,2403,4,2ターンの間、リーダーの攻撃力を200%増加させる,counteraction,4,0.5,0,0,0,1,0.11,0.81,0.1597,0,0,0.999,0.004717
50,73,73,65,em-2c691fe63d0d,ブッシュドノエルん,fire_wind,ZR,38,3652,5354,2,1ターンの間、リーダーの攻撃力を250%増加させる,counteraction,4,0.5,0,0.25,0,1,0.11,0.81,0.1597,0,0,0.9632,0.004426
51,74,74,72,em-c87499b64151,ラパヌイ先生,fire_water,MZR,45,6441,3067,4,6ターンの間、攻撃を自身に集中させる(50%カット),advantage_creation,4,0.5,0,0,0,1,0.11,0.83,0.1586,0,0,0.9078,0.00406
52,75,75,74,em-378e340695dc,スクナクナクナクス,fire_water,MZR,50,6816,3408,2,1ターンの間、自身の攻撃が全体攻撃になる,counteraction,4,0.5,0,0,0,1,0.11,0.85,0.1586,0,0,0.9075,0.003951
53,76,29,52,em-f5955c15b029,ばんば新年2026,all,MZR,60,7668,3438,1,2ターンの間、風属性の敵に対する自身の攻撃力を120%増加させる,counteraction,4,0.5,0,1,0,1,0.12,0.79,0.158,0,0.25,0.9073,0.005333
54,79,78,70,em-5bdefb267838,どーよくん,fire,CR,8,310,910,5,1ターンの間、風属性の敵に対する自身の攻撃力を100%増加させる,counteraction,4,0.5,0,0,0,1,0.11,0.89,0.1478,0,0,0.9868,0.004122
55,80,79,75,em-62994b487456,浪漫歌人♪晶子さん,fire,CR,25,3059,3059,2,死亡している風属性の味方全員を15%のHPで蘇らせる,advantage_creation,4,0.5,0,0,0,1,0.11,0.87,0.1478,0,0,0.9868,0.003907
56,81,80,84,em-e8fc5c7a59a4,猫毘沙門天,fire,MZR,36,4430,4089,4,3ターンの間、風属性の味方全員の攻撃が全体攻撃になる,counteraction,4,0.5,0,0,0,1,0.1,0.81,0.1471,0,0,0.9066,0.003495
57,82,81,86,em-2c08686a6d88,猿もの追い払いネキ,fire_wind,MZR,42,4171,3977,5,2ターンの間、味方全員に風属性の敵からのダメージを85%軽減するシールドを与える,advantage_creation,4,0.5,0,0,0,1,0.1,0.83,0.1464,0,0,0.9063,0.003402
58,7,82,27,em-f9fcb91b983d,アエネウスと弟くん,fire_water,MZR,60,4175,4175,0,2ターンの間、味方全員に火属性の敵からのダメージを15%軽減するシールドを与える,advantage_creation,4,0.5,0,1,1,1,0.1,0.89,0.1446,1.75,0,0.9061,0.009091
59,83,83,85,em-433922ef3e4e,夏至祭のぺた也君,fire_water,ZR,53,7266,2153,2,風属性の味方全員のスキルカウントを2減少させる,ignored,4,0.5,0,0,0,1,0.1,0.85,0.1446,0,0,0.9619,0.00344
60,84,84,88,em-480a0eef6d7b,ピカリャー射的ｽﾀｲﾙ,fire_water,ZR,45,3786,3786,2,1ターンの間、自身の攻撃が全体攻撃になる,counteraction,4,0.5,0,0,0,1,0.1,0.82,0.1446,0,0,0.9618,0.00335
61,91,91,90,em-a7be30f0211a,烏枢さま降臨！,fire,R,13,1359,2416,2,1ターンの間、水属性の敵に対する味方全員の攻撃力を250%増加させる,counteraction,4,0.5,0,0.25,0,1,0.1,0.86,0.1415,0,0,0.998,0.003219
62,92,92,95,em-bc5f259cf576,まさか殿(微マジ),all,MZR,60,5453,6305,7,1ターンの間、自身の攻撃が40回連続攻撃になる,counteraction,4,0.5,0,0,0,1,0.1,0.86,0.1372,0,0,0.9051,0.002843
63,93,93,97,em-712bee050113,ターヌムンゴネキ,fire,MZR,35,4089,4089,2,6ターンの間、自身の攻撃力を65%増加させる,counteraction,4,0.5,0,0,0,1,0.09,0.81,0.1338,0,0,0.9048,0.002769
64,94,94,98,em-7547c480c963,ウミユリーず,fire,MZR,60,4430,6475,5,味方全員のスキルカウントを2減少させる,ignored,4,0.5,0,0,0,1,0.09,0.86,0.1338,0,0,0.9046,0.002696
