総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,2,44,2,em-0784bb7beecf,ダリア・宮子・9,water_wind,MZR,42,4771,4089,0,味方全員のHPを25%回復する,advantage_creation,72,0.6597,0.5612,1,1,1,0.085,0.9611,0.1246,0.9583,0,0.92,0.022056
2,46,45,9,em-70a9a07ea8d9,うさ☆八幡さま,water_wind,MZR,60,5964,5964,6,火属性の敵全員の攻撃カウントを3増加させる,ignored,72,0.5069,0.3999,0,0,1,0.0567,0.9533,0.084,0,0,0.9177,0.017037
3,47,46,7,em-e15fbf6ecd0c,シャーロック&エッジュ,fire_wind,ZR,41,4260,5112,2,水属性の味方全員のスキルカウントを1減少させる,ignored,72,0.5278,0.42,0,0,1,0.0672,0.9478,0.0977,0,0,0.9673,0.017463
4,48,47,67,em-4a7831bec582,春の音連れ,wind,伝,66,10906,3748,6,味方全員のスキルカウントを4減少させる,ignored,72,0.5486,0.4439,0,0,1,0.0656,0.9483,0.0968,0,0,0.3943,0.006934
5,49,3,1,em-ceb860c3dbdd,美姫お市,water_wind,MZR,60,5964,2556,0,3ターンの間、自身の攻撃力を30%増加させる,counteraction,72,0.5972,0.4935,1,1,1,0.0639,0.9511,0.095,0,0.625,0.9106,0.026451
6,50,12,4,em-2b9338d5254c,電撃のびゃ子,fire,MZR,58,2641,6219,0,2ターンの間、水属性の敵に対する自身の攻撃力を39%増加させる,counteraction,72,0.4931,0.3843,0.9722,1,1,0.0539,0.9444,0.0809,0,0.3333,0.9082,0.021419
7,1,48,58,em-9445cdb23342,ハビリスさん,wind,伝,94,10319,5207,0,自身のHPを56%回復する,advantage_creation,72,0.5139,0.4043,1,1,1,0.0794,0.95,0.1139,1.0278,0,0.3885,0.008284
8,51,49,23,em-39a2f0d8ec72,ロードスのエルフ騎士,fire,MZR,44,4430,5623,6,味方全員のスキルカウントを4減少させる,ignored,72,0.4722,0.3717,0,0,1,0.0556,0.9394,0.0816,0,0,0.9034,0.014422
9,52,50,18,em-37ae218b7e9e,有砂小町,water,ZR,40,5112,5112,7,味方全員のスキルカウントを4減少させる,ignored,72,0.4861,0.3782,0,0,1,0.0628,0.9483,0.0921,0,0,0.9592,0.014891
10,9,51,12,em-3de6064f1850,?????,wind,MZR,49,5623,4771,0,1ターンの間、攻撃をリーダーに集中させる(8%カット),advantage_creation,72,0.5208,0.4139,1,1,1,0.065,0.9428,0.0959,0.625,0,0.8986,0.016286
11,53,52,21,em-ab9b2ce76191,B・O・B,fire_water,ZR,37,4935,3244,3,風属性の敵全員の攻撃カウントを1増加させる,ignored,72,0.5278,0.4254,0,0,1,0.0606,0.94,0.0889,0,0,0.9564,0.014719
12,3,53,8,em-f2a813466bbe,The★Youなリバ子,all,MZR,50,5770,3113,0,自身のHPを77%回復する,advantage_creation,72,0.5556,0.4538,1,1,1,0.0683,0.9472,0.0987,0.7917,0,0.8937,0.017234
13,54,54,30,em-5819b668aba5,ﾌﾗｲﾝｸﾞ･ﾀﾞｯﾁさん,water_wind,MZR,41,3403,4601,5,火属性の敵全員の攻撃カウントを3増加させる,ignored,72,0.4792,0.3795,0,0,1,0.0494,0.9428,0.0724,0,0,0.8912,0.01268
14,28,55,13,em-5bd7e19b00f4,土田野古子,wind,MZR,31,4732,3028,0,9ターンの間、自身にダメージを11%軽減するシールドを与える,advantage_creation,72,0.5486,0.4422,1,1,1,0.065,0.94,0.0958,0.3194,0,0.8887,0.016117
15,22,56,27,em-a447724e3bc1,ヴァレサバ☆関くん,water_wind,MZR,54,4055,5759,0,1ターンの間、攻撃をリーダーに集中させる(10%カット),advantage_creation,72,0.4653,0.3621,1,1,1,0.05,0.9328,0.0734,0.375,0,0.8862,0.013136
16,4,57,19,em-e7f75bf37d9f,あっついさん,water,MZR,40,6134,2726,0,自身のHPを60%回復する,advantage_creation,72,0.5486,0.4476,1,1,1,0.0733,0.9517,0.1056,0.75,0,0.8838,0.014845
17,55,58,33,em-7c0ef69518eb,有砂小町２ＰＣ,fire,ZR,40,5112,5112,4,敵全員の攻撃カウントを1増加させる,ignored,72,0.4514,0.3449,0,0,1,0.0511,0.9367,0.076,0,0,0.948,0.011971
18,56,59,35,em-f3ce9865b46f,BeasT5,water,ZR,38,4116,4664,7,水属性の敵全員の攻撃カウントを5増加させる,ignored,72,0.4583,0.3544,0,0,1,0.0528,0.9461,0.0777,0,0,0.9466,0.011626
19,5,60,16,em-018ed1cdac9e,フユシャク,wind,ZR,28,3067,3408,0,味方全員のHPを30%回復する,advantage_creation,72,0.5139,0.4096,1,1,1,0.0661,0.9367,0.0964,0.7361,0,0.9451,0.015464
20,57,61,39,em-df40dba7c56a,高野さん,fire_water,ZR,34,4089,4089,5,風属性の味方全員のスキルカウントを4減少させる,ignored,72,0.4722,0.3628,0,0,1,0.0572,0.9294,0.0839,0,0,0.9437,0.010995
21,30,62,38,em-ccfeb40e6439,更にThe★Youなリバ子,all,MZR,50,1509,5770,0,味方全員のHPを22%回復する,advantage_creation,72,0.4375,0.3314,1,1,1,0.0494,0.9317,0.0743,0.3056,0,0.8711,0.011039
22,58,63,41,em-5a5c1d1004c1,妖精女王ミカーンニア,wind,ZR,42,3408,4771,4,風属性の味方全員のスキルカウントを2減少させる,ignored,72,0.4306,0.3238,0,0,1,0.0544,0.93,0.0806,0,0,0.9408,0.010399
23,7,64,29,em-2f0a120135a2,神降ろし！宮子様,fire,MZR,24,3578,3152,0,味方全員のHPを25%回復する,advantage_creation,72,0.5069,0.3982,1,1,1,0.0678,0.9344,0.0991,0.6389,0,0.8659,0.01296
24,59,7,5,em-b6adaf9bf556,こうせえっつう女中,fire_water,CR,17,805,2898,0,5ターンの間、リーダーの攻撃力を20%増加させる,counteraction,72,0.5,0.3938,1,1,1,0.0533,0.9483,0.0797,0,0.4722,0.9762,0.020073
25,60,15,14,em-1be59b60bcb4,アメンボ,water,ZR,30,2215,3919,0,1ターンの間、水属性の味方全員の攻撃力を15%増加させる,counteraction,72,0.4653,0.3585,1,1,1,0.0533,0.9383,0.0794,0,0.3194,0.9363,0.01579
26,61,2,3,em-c1bbe00e5d61,ジョンは時を知らない,all,ZR,48,4771,3493,0,7ターンの間、自身の攻撃力を16%増加させる,counteraction,72,0.4722,0.3699,1,1,1,0.0489,0.9444,0.0717,0,0.6667,0.9348,0.021556
27,62,65,48,em-814b464a2192,ナナホシ,fire,ZR,50,5044,5044,3,味方全員のスキルカウントを1減少させる,ignored,72,0.3958,0.2898,0,0,1,0.0489,0.9272,0.0714,0,0,0.9333,0.00961
28,63,66,59,em-c4663d98c2ff,海・百合男,fire,MZR,33,3748,4430,5,味方全員のスキルカウントを2減少させる,ignored,72,0.4028,0.299,0,0,1,0.0444,0.9367,0.0659,0,0,0.8527,0.008205
