総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,169,95,3,em-0ba3ddcc384c,雛段芸人☆さくらんず,all,R,16,1510,1887,5,味方全員のスキルカウントを2減少させる,ignored,4,0.5,0.5,0,1,1,0,1,0,0,0,1,0.012059
2,170,96,4,em-2e6716824578,横きゅっちゃん,water_wind,CR,19,2817,2817,5,風属性の敵全員の攻撃カウントを2増加させる,ignored,4,0.75,0.26,0,0.75,1,0.4167,0.875,0.5048,0,0,0.9899,0.011609
3,171,97,5,em-3ff69ed35fe7,wiーん・ザ・ウルフ,fire,CR,19,2898,2898,4,3ターンの間、味方全員の属性を火属性に変更する,adaptive,4,0.875,0.63,0,1,1,0.1771,1,0.251,0,0,0.9899,0.011288
4,172,98,6,em-908fa1696f0d,速いぞサラマンダー！,water,R,12,3186,1431,6,リーダーのスキルカウントを8減少させる,ignored,4,0.625,0.38,0,0.75,1,0.1071,1,0.1389,0,0,0.9999,0.011088
5,173,99,8,em-2110fa48fdc1,グリンすマン・ﾌｨｰﾊﾞｰ!,water_wind,R,22,1661,1736,5,敵全員の攻撃カウントを2増加させる,ignored,4,0.75,0.26,0,1,1,0.4438,0.8333,0.5181,0,0,0.9999,0.010782
6,174,48,2,em-294f61da0084,Ｃ・Ｃ☆電車姫,fire_water,CR,22,3741,1973,4,3ターンの間、自身の攻撃力を200%増加させる,counteraction,4,0.75,0.26,1,1,1,0.2895,0.8611,0.3451,0,0.25,0.9897,0.01264
7,175,100,10,em-37ab32b36f96,ハントンさん,fire,N,5,450,650,7,1ターンの間、味方全員の攻撃が2回連続攻撃になる,counteraction,4,0.875,0.63,0,0,1,0.3876,1,0.4658,0,0,0.9999,0.010222
8,176,101,11,em-20d0672eefa5,実際かにろう,fire,N,8,1269,987,4,風属性の敵全員の攻撃カウントを2増加させる,ignored,4,0.75,0.26,0,1,1,0.3438,0.9286,0.4309,0,0,0.9998,0.00994
9,4,102,1,em-2f5dd4b0a739,大内先輩,water,R,9,800,800,4,水属性の味方全員のHPを50%回復する,advantage_creation,4,0.75,0.26,1,1,1,0.4,0.875,0.4762,1.5,0,0.9997,0.013899
10,177,103,13,em-1555cadff0cf,おぅぼっと,water,R,6,800,300,4,2ターンの間、味方全員にダメージを20%軽減するシールドを与える,advantage_creation,4,0.625,0.38,1,1,1,0.1,1,0.1316,0,0,0.9997,0.009401
11,95,104,16,em-bd98030ead3e,首領子襲来!!,water,MZR,33,5680,3786,4,味方全員のHPを111%回復する,advantage_creation,30,0.5,0.3306,1,1,1,0.2101,0.8279,0.2456,0.2667,0,0.9173,0.008654
12,178,105,14,em-573a74e6170b,God of 魚ぉ！,water,N,8,1269,1128,4,味方全員のHPを45%回復する,advantage_creation,4,0.75,0.26,1,1,1,0.2976,0.8167,0.3523,0,0,0.9998,0.008894
13,179,106,17,em-455f884e0481,迷菓ぴよ子先生,fire,R,7,662,700,5,1ターンの間、火属性の味方全員の攻撃力を100%増加させる,counteraction,4,0.75,0.4671,1,1,1,0.3333,1,0.3636,0,0,0.9996,0.008649
14,96,107,20,em-34ff44ed1803,富士さんは魔女,water,ZR,42,5112,4260,4,死亡している水属性の味方全員を10%のHPで蘇らせる,advantage_creation,30,0.45,0.2917,1,1,1,0.2066,0.8673,0.2296,0.2667,0,0.968,0.008418
15,89,108,21,em-ad82a61bcc2a,ｺﾄﾖﾛ!巳ーちゃん様,all,MZR,55,6901,3451,4,2ターンの間、味方全員にダメージを66%軽減するシールドを与える,advantage_creation,30,0.4833,0.3108,1,1,1,0.1397,0.8381,0.178,0.4,0,0.9163,0.00816
16,61,109,22,em-c89260e1ef3b,曲芸師・ブンブク,fire,MZR,60,6305,2996,4,死亡している味方全員を10%のHPで蘇らせる,advantage_creation,30,0.4833,0.3173,1,1,1,0.2102,0.8308,0.2403,0.5333,0,0.916,0.008045
17,180,110,28,em-cd5bbd27a3ee,熊とか絶対殺すマン,water,ZR,40,4086,4771,5,敵全員の攻撃カウントを2増加させる,ignored,4,0.625,0.1559,0,1,1,0.2604,0.8409,0.2928,0,0,0.9676,0.007505
18,43,111,15,em-e128354ca2de,シュレーダー帝,fire_water,CR,31,1795,3097,6,死亡している火属性の味方全員を130%のHPで蘇らせる,advantage_creation,4,0.875,0.63,1,0.75,1,0.2113,1,0.2907,0.75,0,0.9889,0.008818
19,5,112,9,em-6c9a66a7da8c,抹殺音ズース,fire_water,MZR,40,5623,3408,6,味方全員のHPを300%回復する,advantage_creation,4,0.875,0.63,1,0.75,1,0.2917,1,0.3601,1.5,0,0.9152,0.010486
20,181,89,34,em-78785b8bf619,企業だ浅ちゃん！,water,MZR,42,1192,7327,4,2ターンの間、自身の攻撃力を400%増加させる,counteraction,30,0.4,0.2345,1,1,1,0.1105,0.7101,0.1403,0,0.1667,0.9149,0.006803
21,60,113,24,em-83b1d87342f9,コン美なん吉先生,water,CR,20,882,3381,4,死亡している味方全員を1%のHPで蘇らせる,advantage_creation,30,0.4667,0.3044,1,1,1,0.1554,0.8108,0.1862,0.6,0,0.9887,0.007702
