総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,60,49,16,em-02bbd3e33593,飛んだ！イスタン大王,wind,ZR,35,3408,5793,3,水属性の敵全員の攻撃カウントを2増加させる,ignored,72,0.5069,0.4017,0,0.5972,1,0.1052,0.9249,0.1434,0,0,0.97,0.016569
2,6,50,5,em-6cd949ff7539,?????,fire_water,MZR,53,1842,6475,2,1ターンの間、攻撃を自身に集中させる(92%カット),advantage_creation,72,0.5069,0.4053,1,1,1,0.0882,0.9195,0.1219,0.5972,0,0.9177,0.019949
3,61,18,1,em-712bee050113,ターヌムンゴネキ,fire,MZR,35,4089,4089,2,6ターンの間、自身の攻撃力を65%増加させる,counteraction,72,0.5625,0.4564,1,1,1,0.1141,0.9267,0.1511,0,0.3611,0.9153,0.02074
4,27,51,18,em-667dae45fa9f,怪童の金たろす,wind,MZR,52,6049,6049,2,3ターンの間、自身にダメージを50%軽減するシールドを与える,advantage_creation,72,0.4653,0.3658,1,1,1,0.1045,0.9187,0.1378,0.3472,0,0.9129,0.016308
5,33,52,17,em-a7fc49aa8c73,広報担当：アッシュ,fire_water,ZR,37,5112,3748,2,1ターンの間、火属性の攻撃を自身に集中させる。(70%カット),advantage_creation,72,0.5486,0.4439,0.9722,1,1,0.095,0.9091,0.1341,0.3056,0,0.9646,0.016365
6,62,12,2,em-8038935d7100,竜宮の翁,fire,MZR,38,4771,3748,2,3ターンの間、自身の攻撃力を100%増加させる,counteraction,72,0.5139,0.4114,1,1,1,0.0977,0.9206,0.1333,0,0.4028,0.9082,0.020706
7,63,28,14,em-7f5fe06d82f7,特攻のびゃこ,wind,MZR,39,2641,6219,2,1ターンの間、火属性の敵に対する自身の攻撃力を999%増加させる,counteraction,72,0.4653,0.3603,0.9583,1,1,0.0783,0.8869,0.1102,0,0.2361,0.9058,0.01658
8,28,53,20,em-7b32a03e6e07,神降ろし！宮子様,wind,ZR,27,3578,3152,2,味方全員のHPを25%回復する,advantage_creation,72,0.5347,0.4316,1,1,1,0.1008,0.9189,0.1397,0.3333,0,0.9606,0.015303
9,22,15,6,em-9b4f5ff97dee,モスウーマン師匠,wind,MZR,47,6390,4345,2,1ターンの間、味方全員の属性を火属性に変更する,adaptive,72,0.5069,0.4035,0.9861,1,1,0.0839,0.9296,0.1168,0.3889,0.3889,0.901,0.019949
10,11,22,4,em-66ea9ae769d2,白拍子キリコ,wind,CR,22,2898,2898,2,1ターンの間、味方全員の属性を火属性に変更する,adaptive,72,0.5347,0.4316,0.9861,1,1,0.126,0.9107,0.17,0.4444,0.2778,0.9848,0.020257
