総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,48,53,6,em-814151a5ca65,登別ッキー,water,ZR,35,2556,6134,2,水属性の味方全員のスキルカウントを1減少させる,ignored,72,0.5278,0.4149,0,0.3333,1,0.1054,0.8958,0.1486,0,0,0.97,0.017749
2,1,54,1,em-4f85690db8f2,メムノン２８号,wind,ZR,32,937,3408,1,1ターンの間、風属性の攻撃を自身に集中させる(95%カット),advantage_creation,72,0.7083,0.6081,0.9722,1,1,0.1407,0.9425,0.2,1.2361,0,0.9687,0.022534
3,49,55,10,em-06a3d28ae15f,オオガラッパ,wind,ZR,36,3783,4771,2,風属性の味方全員のスキルカウントを1減少させる,ignored,72,0.5486,0.4422,0,0.3056,1,0.0964,0.9063,0.1373,0,0,0.9673,0.016773
4,50,56,15,em-f47697209ae1,メルっ子☆メルルン,wind,MZR,60,4856,5538,2,火属性の味方全員のスキルカウントを2減少させる,ignored,72,0.5069,0.3964,0,0.3889,1,0.1011,0.9232,0.1402,0,0,0.9129,0.015373
5,51,57,13,em-6262a008b5c9,脱力コンビあろま＆るる,water,ZR,38,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.5,0.3921,0,0.375,1,0.0951,0.9055,0.1335,0,0,0.9646,0.015845
6,52,58,21,em-3e2d46063b3e,なっとくん様,all,MZR,70,8026,4618,1,リーダーのスキルカウントを1減少させる,ignored,72,0.5139,0.4043,0,1,1,0.1093,0.906,0.1527,0,0,0.9082,0.014466
7,53,36,8,em-872b1096af45,アシナガ,water,ZR,80,3748,6816,1,2ターンの間、自身の攻撃力を88%増加させる,counteraction,72,0.5208,0.4139,1,1,1,0.1031,0.9288,0.1425,0,0.2639,0.9619,0.017685
8,54,39,22,em-2b584e87473c,ウルルさんのオフ曜日,water,MZR,41,2958,6816,1,5ターンの間、火属性の敵に対する自身の攻撃力を65%増加させる,counteraction,72,0.5417,0.4359,0.9028,1,1,0.0992,0.9333,0.1373,0,0.2361,0.9034,0.014408
9,55,1,41,em-ceda64319ca1,蜜香のウミリンゴ,fire_water,伝,75,8520,5453,1,5ターンの間、風属性の敵に対する味方全員の攻撃力を25%増加させる,counteraction,72,0.5694,0.4593,0.9861,1,1,0.1246,0.9278,0.1719,0,0.6806,0.3846,0.010953
10,6,59,12,em-30b1960a9425,赤城山の風神太郎,wind,ZR,43,3446,3919,1,2ターンの間、攻撃を自身に集中させる(50%カット),advantage_creation,72,0.6111,0.5028,1,1,1,0.1283,0.9304,0.1786,0.6528,0,0.9578,0.016512
11,56,60,26,em-e15fbf6ecd0c,シャーロック&エッジュ,fire_wind,ZR,41,4260,5112,2,水属性の味方全員のスキルカウントを1減少させる,ignored,72,0.4861,0.3782,0,0.3611,1,0.0865,0.9096,0.1229,0,0,0.9564,0.013611
12,57,61,32,em-682cda3863fb,脱力コンビあろま＆るる,all,MZR,48,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.4653,0.3534,0,0.3611,1,0.1028,0.8897,0.1424,0,0,0.8937,0.012386
13,13,62,74,em-77df113e9f3b,聖方理納,wind,伝,80,8350,5118,1,1ターンの間、風属性の味方全員にダメージを25%軽減するシールドを与える,advantage_creation,72,0.5625,0.4564,1,1,1,0.1186,0.9257,0.1658,0.5139,0,0.3767,0.006658
14,58,63,36,em-f69cec08bbe4,魔女っ魚☆メルルン,wind,MZR,41,3834,4345,2,火属性の味方全員のスキルカウントを2減少させる,ignored,72,0.5,0.3853,0,0.3472,1,0.0853,0.9097,0.1239,0,0,0.8887,0.011664
15,33,64,80,em-d7873747b412,藤のフヒッティ,fire_water,伝,75,10735,3578,1,3ターンの間、自身にダメージを30%軽減するシールドを与える,advantage_creation,72,0.5903,0.4835,1,1,1,0.107,0.9391,0.1493,0.3333,0,0.3726,0.005714
16,15,65,17,em-5cd1890be20b,イーネちゃんの舟屋,water,ZR,41,3748,4771,1,1ターンの間、攻撃を自身に集中させる(60%カット),advantage_creation,72,0.5417,0.4342,1,1,1,0.1235,0.9211,0.1663,0.5,0,0.9494,0.015029
17,59,27,18,em-35db097208c5,勝斧・冠,water,MZR,60,6816,4089,1,8ターンの間、風属性の敵に対する自身の攻撃力を60%増加させる,counteraction,72,0.5625,0.4513,0.9861,1,1,0.1196,0.9139,0.1677,0,0.3333,0.8812,0.014794
18,23,3,2,em-bc848e4ecf13,マラムさん,wind,ZR,38,4703,4532,1,1ターンの間、味方全員の属性を風属性に変更する,adaptive,72,0.5486,0.4404,0.9861,1,1,0.0915,0.9362,0.13,0.4167,0.5972,0.9466,0.022027
19,60,2,3,em-06bad6d4123b,猿もの追い払いネキ,wind,ZR,31,2556,5367,1,2ターンの間、味方全員の攻撃力を20%増加させる,counteraction,72,0.5208,0.4139,1,1,1,0.0988,0.9268,0.1403,0,0.6111,0.9451,0.020245
20,61,37,87,em-8d38e9c3aa92,オルカアタッカー虎子,water_wind,伝,70,9202,6134,1,3ターンの間、火属性の敵に対する自身の攻撃力を111%増加させる,counteraction,72,0.5139,0.4026,0.9028,1,1,0.1043,0.9146,0.1462,0,0.2639,0.3624,0.004785
