総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,2,54,45,em-dec390a52ee6,英国ストヘン技師,water_wind,伝,70,8861,4260,1,2ターンの間、味方全員に水属性の敵からのダメージを40%軽減するシールドを与える,advantage_creation,72,0.6181,0.5146,1,1,1,0.1453,0.9362,0.1965,1.1806,0,0.4,0.010111
2,51,32,8,em-872b1096af45,アシナガ,water,ZR,80,3748,6816,1,2ターンの間、自身の攻撃力を88%増加させる,counteraction,72,0.5278,0.4166,1,1,1,0.1224,0.9088,0.1672,0,0.2778,0.9687,0.019803
3,52,55,14,em-814151a5ca65,登別ッキー,water,ZR,35,2556,6134,2,水属性の味方全員のスキルカウントを1減少させる,ignored,72,0.4653,0.3551,0,0.1528,1,0.0811,0.8833,0.1154,0,0,0.9673,0.016414
4,53,56,17,em-682cda3863fb,脱力コンビあろま＆るる,all,MZR,48,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.4722,0.3611,0,0.3611,1,0.0922,0.8928,0.1298,0,0,0.9129,0.015171
5,54,27,55,em-ceda64319ca1,蜜香のウミリンゴ,fire_water,伝,75,8520,5453,1,5ターンの間、風属性の敵に対する味方全員の攻撃力を25%増加させる,counteraction,72,0.5625,0.4513,0.9306,1,1,0.1201,0.9094,0.1662,0,0.3194,0.3924,0.008337
6,55,28,63,em-8d38e9c3aa92,オルカアタッカー虎子,water_wind,伝,70,9202,6134,1,3ターンの間、火属性の敵に対する自身の攻撃力を111%増加させる,counteraction,72,0.5347,0.4245,0.9306,1,1,0.1146,0.9202,0.1586,0,0.3194,0.3904,0.00723
7,56,33,12,em-2b584e87473c,ウルルさんのオフ曜日,water,MZR,41,2958,6816,1,5ターンの間、火属性の敵に対する自身の攻撃力を65%増加させる,counteraction,72,0.5278,0.4183,0.875,1,1,0.0953,0.9005,0.1348,0,0.2778,0.9058,0.017268
8,26,57,11,em-ee43bce0e25f,vにゅーさん,all,MZR,51,3567,5271,1,5ターンの間、自身にダメージを35%軽減するシールドを与える,advantage_creation,72,0.5278,0.42,1,1,1,0.0997,0.9067,0.1393,0.3333,0,0.9034,0.017279
9,57,58,28,em-3e2d46063b3e,なっとくん様,all,MZR,70,8026,4618,1,リーダーのスキルカウントを1減少させる,ignored,72,0.4444,0.3356,0,1,1,0.0851,0.8972,0.1182,0,0,0.901,0.013389
10,58,59,26,em-6262a008b5c9,脱力コンビあろま＆るる,water,ZR,38,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.4167,0.3087,0,0.2917,1,0.0773,0.8826,0.109,0,0,0.9578,0.01373
11,15,60,18,em-563e34211286,大抵カールのせい,fire_water,MZR,50,4686,5112,1,1ターンの間、味方全員にダメージを20%軽減するシールドを与える,advantage_creation,72,0.5139,0.4043,1,1,1,0.1018,0.8995,0.1425,0.4861,0,0.8961,0.015092
12,59,3,2,em-52a11488ce9e,新・ウオ丸くん,water,MZR,60,4294,3578,1,6ターンの間、水属性の味方全員の攻撃力を20%増加させる,counteraction,72,0.5486,0.4404,1,1,1,0.124,0.9234,0.1701,0,0.8333,0.8937,0.023358
13,19,61,20,em-5cd1890be20b,イーネちゃんの舟屋,water,ZR,41,3748,4771,1,1ターンの間、攻撃を自身に集中させる(60%カット),advantage_creation,72,0.5139,0.4026,1,1,1,0.1099,0.9051,0.1547,0.4583,0,0.9537,0.01484
14,8,62,65,em-d7873747b412,藤のフヒッティ,fire_water,伝,75,10735,3578,1,3ターンの間、自身にダメージを30%軽減するシールドを与える,advantage_creation,72,0.5278,0.4166,1,1,1,0.1145,0.9045,0.1584,0.5139,0,0.3746,0.007108
15,60,15,10,em-4f7f91fb4514,うどんの天使,water,MZR,42,3067,3748,1,5ターンの間、自身の攻撃力を40%増加させる,counteraction,72,0.5208,0.4157,1,1,1,0.0892,0.9082,0.1236,0,0.4722,0.8862,0.018538
16,61,13,4,em-2c2759ede728,?????,water_wind,ZR,44,4771,2385,1,3ターンの間、風属性の敵に対する味方全員の攻撃力を35%増加させる,counteraction,72,0.5833,0.472,0.9167,1,1,0.1182,0.901,0.1663,0,0.4861,0.9494,0.02185
17,1,63,13,em-418076b2d218,イシマンガリソ先輩,water,ZR,42,5367,3067,1,1ターンの間、風属性の攻撃を自身に集中させる(80%カット),advantage_creation,72,0.5833,0.4754,0.9167,1,1,0.1387,0.9069,0.1905,1.1944,0,0.948,0.017198
