総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,18,49,1,em-31da7ca7be23,安倍晴明,wind,ZR,40,3919,4566,4,死亡している風属性の味方全員を1%のHPで蘇らせる,advantage_creation,30,0.5833,0.4134,1,1,1,0.344,0.8418,0.3752,0.8667,0,0.97,0.017676
2,33,50,3,em-9cbbb04818bd,シミ,all,ZR,20,1704,2215,4,味方全員のHPを200%回復する,advantage_creation,4,0.75,0.26,1,1,1,0.2128,0.9375,0.293,0.5,0,0.9697,0.016242
3,89,51,8,em-2110fa48fdc1,グリンすマン・ﾌｨｰﾊﾞｰ!,water_wind,R,22,1661,1736,5,敵全員の攻撃カウントを2増加させる,ignored,4,0.75,0.26,0,1,1,0.5536,0.75,0.6079,0,0,0.9999,0.014172
4,32,52,4,em-ad82a61bcc2a,ｺﾄﾖﾛ!巳ーちゃん様,all,MZR,55,6901,3451,4,2ターンの間、味方全員にダメージを66%軽減するシールドを与える,advantage_creation,30,0.5167,0.3441,1,1,1,0.2285,0.7664,0.2729,0.5667,0,0.9186,0.015721
5,90,53,63,em-60119eda4c9c,猿田彦大先輩,all,伝,80,7838,7157,5,3ターンの間、火属性の味方全員の攻撃力を200%増加させる,counteraction,4,0.75,0.26,1,1,1,0.3155,0.9219,0.4088,0,0,0.3984,0.005382
6,91,54,10,em-79a4cfaf943a,たこ焼きーナ先生,wind,R,6,252,1210,4,3ターンの間、自身の攻撃力を80%増加させる,counteraction,4,0.75,0.26,1,1,1,0.2986,0.875,0.3884,0,0,0.9997,0.013061
7,34,55,6,em-30dec89ba9f9,大杉妹者,wind,R,10,800,500,4,1ターンの間、攻撃を自身に集中させる(45%カット),advantage_creation,4,0.75,0.26,1,1,1,0.3353,0.9167,0.4252,0.5,0,0.9996,0.014275
8,29,56,9,em-e6110f879f18,ユーコ隊,all,MZR,24,3408,2044,4,死亡している風属性の味方全員を20%のHPで蘇らせる,advantage_creation,30,0.5333,0.3644,0.9667,1,1,0.3303,0.8161,0.362,0.7333,0,0.9166,0.013214
9,92,15,5,em-5861838d2e36,ばうあー泥棒,all,MZR,35,4771,3033,4,2ターンの間、火属性の敵に対する自身の攻撃力を1780%増加させる,counteraction,4,0.75,0.26,0.75,1,1,0.3393,0.925,0.434,0,0.5,0.9161,0.014358
10,93,24,7,em-14d31235a3f8,かっちゃんのBIG強飯,fire_wind,ZR,48,3067,4601,4,2ターンの間、味方全員の攻撃力を120%増加させる,counteraction,30,0.4667,0.3044,1,1,1,0.1758,0.758,0.2057,0,0.4667,0.9675,0.014204
11,94,57,18,em-70a9a07ea8d9,うさ☆八幡さま,water_wind,MZR,60,5964,5964,6,火属性の敵全員の攻撃カウントを3増加させる,ignored,4,0.625,0.1559,0,0.75,1,0.0982,0.8438,0.1436,0,0,0.9152,0.010513
12,95,58,17,em-cec2f0ad9373,Dr.フォックス,water_wind,ZR,40,4089,4430,4,敵全員の攻撃カウントを1増加させる,ignored,4,0.625,0.1559,0,1,1,0.2639,0.9167,0.3252,0,0,0.967,0.010803
13,47,59,15,em-9898cb7ba23e,富士さんは魔女,wind,MZR,45,5112,4260,4,死亡している風属性の味方全員を10%のHPで蘇らせる,advantage_creation,4,0.625,0.1559,1,1,1,0.2321,0.95,0.2951,0.25,0,0.9142,0.011205
14,19,60,11,em-d0639c20e6b1,ユーコ☆宇宙,all,MZR,24,4260,2556,4,死亡している風属性の味方全員を25%のHPで蘇らせる,advantage_creation,30,0.5,0.3306,0.9667,1,1,0.3071,0.8361,0.3309,0.8,0,0.9137,0.012507
15,48,61,16,em-45dad5139056,ベギン改・修道女,fire_wind,ZR,37,4565,4467,4,死亡している火属性の味方全員を20%のHPで蘇らせる,advantage_creation,4,0.625,0.1559,1,1,1,0.2143,0.8846,0.2724,0.25,0,0.9661,0.010974
16,21,62,12,em-ff5428a9ceca,アブラムシ,wind,ZR,30,5112,3408,4,死亡している風属性の味方全員を25%のHPで蘇らせる,advantage_creation,4,0.625,0.1559,1,1,1,0.5,0.8636,0.5,0.75,0,0.9659,0.012078
17,96,1,2,em-13eb68eee59d,マーサイ兄さん,wind,ZR,34,4260,3834,4,3ターンの間、風属性の味方全員の攻撃力を80%増加させる,counteraction,30,0.45,0.2849,1,1,1,0.1929,0.8417,0.2263,0,1.0333,0.9656,0.016338
18,97,63,90,em-05c5072dc080,橘の元祖☆みっちー,water_wind,伝,75,9798,4515,4,味方全員のスキルカウントを2減少させる,ignored,4,0.625,0.1559,0,1,1,0.2313,0.8654,0.2655,0,0,0.3933,0.003776
19,98,64,25,em-7ef2a0d30bcc,ケレント・ヴァニ江,wind,ZR,26,3340,3510,6,水属性の敵全員の攻撃カウントを4増加させる,ignored,4,0.625,0.1559,0,0.25,1,0.3,0.9464,0.3551,0,0,0.965,0.008957
20,99,65,94,em-4a7831bec582,春の音連れ,wind,伝,66,10906,3748,6,味方全員のスキルカウントを4減少させる,ignored,30,0.4667,0.2977,0,0.3667,1,0.165,0.7819,0.2011,0,0,0.3925,0.003547
