枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-d7873747b412,藤のフヒッティ,75,10735,3578,1,damage_reduction,0.9625,0.9873,100,0,10,いいえ,藤のフヒッティ / ペーチパイセン / ウナギーヌくん / 旧市街地の魔物 / ウシュか☆丸か
1,2,em-378e340695dc,スクナクナクナクス,50,6816,3408,2,aoe_attack,0.9598,0.981,99,1,11,いいえ,スクナクナクナクス / ペーチパイセン / コンドアーズ / おこしんMK-2 / 巨大カンテツ
1,3,em-b6adaf9bf556,こうせえっつう女中,17,805,2898,0,attack_buff,0.9326,0.962,99,1,12,いいえ,こうせえっつう女中 / ヤマさんヤミーさん / 肉食ドゥブロさん / ブラジリアン首都術 / 巨大カンテツ
1,4,em-b041a6f6cf00,テヅルモヅルン,37,5367,2147,3,attribute_guard,0.9242,0.9557,100,0,11,いいえ,テヅルモヅルン / ペーチパイセン / 肉食ドゥブロさん / 愛のぴよ子 / 巨大カンテツ
1,5,em-d932b3b4e7ed,狼先生ジョン,18,1963,2869,1,attribute_change,0.892,0.9304,100,0,12,いいえ,狼先生ジョン / ヤマさんヤミーさん / 肉食ドゥブロさん / おこしんMK-2 / 巨大カンテツ
1,6,em-a7fc49aa8c73,広報担当：アッシュ,37,5112,3748,2,attribute_guard,0.8888,0.9367,100,0,11,いいえ,広報担当：アッシュ / ペーチパイセン / コンドアーズ / 肉食ドゥブロさん / ハリウッドナナコ師匠
1,7,em-93bcb3ddcb90,蝦夷の鬼武者,50,5367,4771,1,attack_buff,0.8881,0.9304,99,1,11,いいえ,蝦夷の鬼武者 / ペーチパイセン / コンドアーズ / おこしんMK-2 / 巨大カンテツ
1,8,em-ab9b2ce76191,B・O・B,37,4935,3244,3,delay,0.8842,0.9241,100,0,11,いいえ,B・O・B / ペーチパイセン / 肉食ドゥブロさん / 愛のぴよ子 / 巨大カンテツ
1,9,em-bbce42d72486,東がエデン,50,5112,5112,0,attribute_change,0.8805,0.9241,99,1,11,いいえ,東がエデン / ペーチパイセン / コンドアーズ / おこしんMK-2 / 巨大カンテツ
1,10,em-cea68c425163,跛荒の鉄男大先生,51,4686,6625,3,multi_hit_attack,0.8805,0.9241,100,0,11,いいえ,跛荒の鉄男大先生 / ペーチパイセン / コンドアーズ / おこしんMK-2 / 巨大カンテツ
1,11,em-6885c7d684d6,雪の美女と魔獣,52,4304,3016,1,heal,0.8766,0.9177,100,0,11,いいえ,雪の美女と魔獣 / ペーチパイセン / アウス大先輩 / 愛のぴよ子 / 巨大カンテツ
1,12,em-57dce5f944a3,うらうらら,50,4260,6390,4,multi_hit_attack,0.873,0.9177,99,1,11,いいえ,うらうらら / ペーチパイセン / コンドアーズ / おこしんMK-2 / 巨大カンテツ
1,13,em-a68c8ce48bea,こんにゃく姫,37,5964,2726,7,attack_buff,0.873,0.9177,100,0,11,いいえ,こんにゃく姫 / ペーチパイセン / 肉食ドゥブロさん / 愛のぴよ子 / 巨大カンテツ
1,14,em-cb0ef748882f,八狗神伏姫様,35,5538,2130,4,guard,0.869,0.9114,99,1,12,いいえ,八狗神伏姫様 / ペーチパイセン / 肉食ドゥブロさん / ブラジリアン首都術 / 巨大カンテツ
1,15,em-3a0ce37a12ff,おこしんMK-2,8,1510,2265,4,multi_hit_attack,0.8655,0.9114,99,1,12,いいえ,おこしんMK-2 / ペーチパイセン / ターヌムンゴネキ / 肉食ドゥブロさん / 巨大カンテツ
1,16,em-ea813aee5d92,ブラジリアン首都術,8,1812,1963,4,aoe_attack,0.8655,0.9114,99,1,12,いいえ,ブラジリアン首都術 / ペーチパイセン / ターヌムンゴネキ / 肉食ドゥブロさん / 巨大カンテツ
1,17,em-5f5281ba5e2a,黄泉還り！反魂タン,9,1812,1963,3,revive,0.8655,0.9114,100,0,12,いいえ,黄泉還り！反魂タン / ペーチパイセン / ターヌムンゴネキ / 肉食ドゥブロさん / 巨大カンテツ
1,18,em-e99bfc1ea066,ご入学ぴよ子,9,883,2397,2,attack_buff,0.8655,0.9114,100,0,12,いいえ,ご入学ぴよ子 / ペーチパイセン / ターヌムンゴネキ / 肉食ドゥブロさん / 巨大カンテツ
1,19,em-cf1f3fbef79d,紅玉の供犠ぴよ子,6,1609,1609,0,none,0.8581,0.9051,97,3,12,いいえ,紅玉の供犠ぴよ子 / ペーチパイセン / ターヌムンゴネキ / 肉食ドゥブロさん / 巨大カンテツ
1,20,em-28f044d525d7,スーリヤ様が見てる,7,489,1446,3,skill_reduction,0.8581,0.9051,98,2,12,いいえ,スーリヤ様が見てる / ペーチパイセン / ターヌムンゴネキ / 肉食ドゥブロさん / 巨大カンテツ
1,21,em-fa48dd1cff0a,祭りだ浅ちゃん！,7,800,1603,4,attack_buff,0.8581,0.9051,98,2,12,いいえ,祭りだ浅ちゃん！ / ペーチパイセン / ターヌムンゴネキ / 肉食ドゥブロさん / 巨大カンテツ
1,22,em-ae9fd7e6b2dc,ヘヴィなじとっ子君,8,607,1795,4,attack_buff,0.8581,0.9051,99,1,12,いいえ,ヘヴィなじとっ子君 / ペーチパイセン / ターヌムンゴネキ / 肉食ドゥブロさん / 巨大カンテツ
1,23,em-ce4a4d623424,ケンＺＯ４号,8,502,1901,5,attack_buff,0.8581,0.9051,99,1,12,いいえ,ケンＺＯ４号 / ペーチパイセン / ターヌムンゴネキ / 肉食ドゥブロさん / 巨大カンテツ
1,24,em-474d7b7d3bbe,イチャン～(から),26,3606,2850,2,aoe_attack,0.8581,0.9051,99,1,12,いいえ,イチャン～(から) / ペーチパイセン / コンドアーズ / 肉食ドゥブロさん / 巨大カンテツ
