枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-fcf6ec919e80,ｱﾙﾊﾟ力のお兄(父)さん,10,763,2205,3,heal,0.9851,0.9949,100,0,12,いいえ,ｱﾙﾊﾟ力のお兄(父)さん / 試作型おこしん / ホルトバージ君 / ????? / ラパヌイ先生
1,2,em-f2a813466bbe,The★Youなリバ子,50,5770,3113,0,heal,0.9519,0.9798,100,0,9,いいえ,The★Youなリバ子 / 試作型おこしん / ホルトバージ君 / ????? / ハリウッドナナコ師匠
1,3,em-d7e5ef0e4b97,実はこんにゃくちゃん,9,1198,1204,7,guard,0.9453,0.9747,100,0,12,いいえ,実はこんにゃくちゃん / 試作型おこしん / ホルトバージ君 / ラパヌイ先生 / 眠里　不可緒
1,4,em-78c90c30a11c,夜光虫ほたるん,14,2265,3020,2,attribute_change,0.9358,0.9697,99,1,12,いいえ,夜光虫ほたるん / モチノ・ウオ丸 / ホルトバージ君 / ????? / 眠里　不可緒
1,5,em-e7f75bf37d9f,あっついさん,40,6134,2726,0,heal,0.9358,0.9697,99,1,9,いいえ,あっついさん / 総統エビユルゲ / ホルトバージ君 / ????? / 眠里　不可緒
1,6,em-3600ec808f3f,日本海女中,15,1288,2898,0,attack_buff,0.9358,0.9697,100,0,12,いいえ,日本海女中 / モチノ・ウオ丸 / ホルトバージ君 / ????? / 眠里　不可緒
1,7,em-5284c689c7b6,ジャウー大先生,15,805,3220,4,skill_reduction,0.9358,0.9697,100,0,12,いいえ,ジャウー大先生 / モチノ・ウオ丸 / ホルトバージ君 / ????? / 眠里　不可緒
1,8,em-5e6cf1fe4c4c,まそお姉ちゃん,15,2898,3059,5,attack_buff,0.9358,0.9697,100,0,12,いいえ,まそお姉ちゃん / モチノ・ウオ丸 / ホルトバージ君 / ????? / 眠里　不可緒
1,9,em-90b0d123f99e,かんきゅっちゃん,15,2817,2817,5,delay,0.9358,0.9697,100,0,12,いいえ,かんきゅっちゃん / モチノ・ウオ丸 / ホルトバージ君 / ????? / 眠里　不可緒
1,10,em-c736bc52077a,漱石先生と吾輩たち,15,1610,3461,5,skill_reduction,0.9358,0.9697,100,0,12,いいえ,漱石先生と吾輩たち / モチノ・ウオ丸 / ホルトバージ君 / ????? / 眠里　不可緒
1,11,em-1d6b42059506,レーティッシュ凛子,35,5623,3229,3,attack_buff,0.9356,0.9646,100,0,10,いいえ,レーティッシュ凛子 / トマティーナ少佐 / ホルトバージ君 / ????? / アグスティンさん
1,12,em-32538f7c8341,熊殺しのサンタマン,58,6560,4345,5,delay,0.9324,0.9646,100,0,9,いいえ,熊殺しのサンタマン / 夜光虫ほたるん / ????? / ＢＥＷ雪玉 / ハリウッドナナコ師匠
1,13,em-5a3998126178,TAGOのBOOTH,17,2896,2385,6,multi_hit_attack,0.9232,0.9596,98,2,12,いいえ,TAGOのBOOTH / モチノ・ウオ丸 / ホルトバージ君 / ????? / 速いぞサラマンダー！
1,14,em-4c764571b9ab,お稲荷様のパシリ,47,6816,3408,1,attack_buff,0.9206,0.9596,97,3,9,いいえ,お稲荷様のパシリ / 試作型おこしん / ホルトバージ君 / ????? / ハリウッドナナコ師匠
1,15,em-ed2bb6e12815,ラスコー原人,14,604,3624,1,attribute_change,0.9206,0.9596,99,1,12,いいえ,ラスコー原人 / モチノ・ウオ丸 / ホルトバージ君 / ????? / 眠里　不可緒
1,16,em-b8168a7a90ca,大杉に願いを☆ミ,39,5129,3067,2,attribute_guard,0.9165,0.9495,97,3,9,いいえ,大杉に願いを☆ミ / トマティーナ少佐 / ホルトバージ君 / ????? / ハリウッドナナコ師匠
1,17,em-d368809aa822,ﾜﾙﾌﾟﾙｷﾞｽなメル子様,39,6560,3152,3,attribute_guard,0.9165,0.9495,97,3,9,いいえ,ﾜﾙﾌﾟﾙｷﾞｽなメル子様 / トマティーナ少佐 / ホルトバージ君 / ????? / ハリウッドナナコ師匠
