枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-93a9275d427c,肉食ドゥブロさん,32,5106,3404,3,attack_buff,0.8211,0.8889,98,2,8,いいえ,肉食ドゥブロさん / ヤマさんヤミーさん / コンドアーズ / 愛のぴよ子 / にほりん
1,2,em-42c90dd17240,GSPS！秀郷先生,34,3578,4601,2,attack_buff,0.8058,0.875,100,0,8,いいえ,GSPS！秀郷先生 / ヤマさんヤミーさん / 愛のぴよ子 / コンドアーズ / にほりん
1,3,em-35e37020b193,æッシュちゃん,17,3542,2254,5,attribute_guard,0.7982,0.8681,98,2,8,いいえ,æッシュちゃん / ヤマさんヤミーさん / 愛のぴよ子 / 肉食ドゥブロさん / にほりん
1,4,em-a7fc49aa8c73,広報担当：アッシュ,37,5112,3748,2,attribute_guard,0.7955,0.8681,100,0,8,いいえ,広報担当：アッシュ / ペーチパイセン / 肉食ドゥブロさん / 愛のぴよ子 / にほりん
1,5,em-ab9b2ce76191,B・O・B,37,4935,3244,3,delay,0.7955,0.8681,100,0,8,いいえ,B・O・B / ペーチパイセン / 肉食ドゥブロさん / 愛のぴよ子 / にほりん
1,6,em-fa48dd1cff0a,祭りだ浅ちゃん！,7,800,1603,4,attack_buff,0.7933,0.8611,98,2,8,いいえ,祭りだ浅ちゃん！ / ヤマさんヤミーさん / 肉食ドゥブロさん / コンドアーズ / 巨大カンテツ
1,7,em-c08f9d20049a,激辛ふとし君,8,701,1702,5,attack_buff,0.7933,0.8611,99,1,8,いいえ,激辛ふとし君 / ヤマさんヤミーさん / 肉食ドゥブロさん / コンドアーズ / 巨大カンテツ
1,8,em-0183a7a13db2,かーたん・べーり,32,4089,4089,5,attribute_guard,0.7906,0.8611,98,2,8,いいえ,かーたん・べーり / ヤマさんヤミーさん / 愛のぴよ子 / コンドアーズ / にほりん
1,9,em-b90efc9e636b,婆娑羅でどーよ,18,1046,4105,4,attack_buff,0.7906,0.8611,99,1,10,いいえ,婆娑羅でどーよ / ヤマさんヤミーさん / 肉食ドゥブロさん / 愛のぴよ子 / にほりん
1,10,em-df40dba7c56a,高野さん,34,4089,4089,5,skill_reduction,0.7906,0.8611,100,0,8,いいえ,高野さん / ヤマさんヤミーさん / 愛のぴよ子 / コンドアーズ / にほりん
1,11,em-d7d6357dff74,フェニックス師匠,32,4508,4830,0,heal,0.7805,0.8542,98,2,8,いいえ,フェニックス師匠 / ヤマさんヤミーさん / 愛のぴよ子 / コンドアーズ / にほりん
1,12,em-e2624c3cfdbc,美才能♪かの子さん,18,1288,4025,5,multi_hit_attack,0.7805,0.8542,99,1,8,いいえ,美才能♪かの子さん / ヤマさんヤミーさん / 肉食ドゥブロさん / 愛のぴよ子 / にほりん
1,13,em-02e0499d8e24,朱雀,36,4430,4941,4,attack_buff,0.7756,0.8542,99,1,8,いいえ,朱雀 / ペーチパイセン / 肉食ドゥブロさん / 愛のぴよ子 / にほりん
1,14,em-d25a7727f654,プラハ嬢,32,1482,4991,4,damage_reduction,0.7731,0.8472,100,0,8,いいえ,プラハ嬢 / ペーチパイセン / 肉食ドゥブロさん / 愛のぴよ子 / わっしょいミカ先生
1,15,em-ec52e54bb473,ﾀｰｷｰﾃﾞ-なじとっこ君,10,706,2403,4,attack_buff,0.7706,0.8472,96,4,8,いいえ,ﾀｰｷｰﾃﾞ-なじとっこ君 / ヤマさんヤミーさん / 愛のぴよ子 / 肉食ドゥブロさん / わっしょいミカ先生
1,16,em-474d7b7d3bbe,イチャン～(から),26,3606,2850,2,aoe_attack,0.7706,0.8472,97,3,8,いいえ,イチャン～(から) / ヤマさんヤミーさん / 愛のぴよ子 / コンドアーズ / わっしょいミカ先生
1,17,em-57dce5f944a3,うらうらら,50,4260,6390,4,multi_hit_attack,0.7706,0.8472,98,2,8,いいえ,うらうらら / ペーチパイセン / コンドアーズ / 愛のぴよ子 / にほりん
