枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-93a9275d427c,肉食ドゥブロさん,32,5106,3404,3,attack_buff,0.5432,0.6458,100,0,8,いいえ,肉食ドゥブロさん / トマティーナ少佐 / コンドアーズ / タミちゃんの火祭り / わっしょいミカ先生
1,2,em-4784572b893f,シントラーのリスボン,32,5680,3786,0,attribute_change,0.5356,0.625,100,0,8,いいえ,シントラーのリスボン / トマティーナ少佐 / コンドアーズ / タミちゃんの火祭り / わっしょいミカ先生
1,3,em-e121ae05cb4a,戦国ドラグーン,32,3919,5112,0,attribute_change,0.5176,0.6042,100,0,8,いいえ,戦国ドラグーン / トマティーナ少佐 / コンドアーズ / タミちゃんの火祭り / わっしょいミカ先生
1,4,em-ac3306faeab5,マサムネーダー,32,3919,5112,1,attribute_change,0.5132,0.5972,100,0,8,いいえ,マサムネーダー / トマティーナ少佐 / コンドアーズ / タミちゃんの火祭り / わっしょいミカ先生
1,5,em-698af6462642,反魂タン昼食TIME,32,3067,5623,4,attack_buff,0.4968,0.5833,100,0,8,いいえ,反魂タン昼食TIME / トマティーナ少佐 / コンドアーズ / タミちゃんの火祭り / わっしょいミカ先生
1,6,em-d295de1e4086,海の日シスターズ♪,40,3823,4657,4,attack_buff,0.4933,0.5833,94,6,8,いいえ,海の日シスターズ♪ / ペーチパイセン / コンドアーズ / おこしんMK-2 / わっしょいミカ先生
1,7,em-7e9ffb70cffa,企業だ浅ちゃん！,32,1192,7327,4,attack_buff,0.4886,0.5764,100,0,8,いいえ,企業だ浅ちゃん！ / トマティーナ少佐 / コンドアーズ / タミちゃんの火祭り / わっしょいミカ先生
1,8,em-df40dba7c56a,高野さん,34,4089,4089,5,skill_reduction,0.471,0.5556,99,1,8,いいえ,高野さん / ヤマさんヤミーさん / トマティーナ少佐 / 愛のぴよ子 / にほりん
1,9,em-49b522eac464,ジェヴォたんは狼？,43,3006,6022,4,multi_hit_attack,0.4625,0.5417,98,2,8,いいえ,ジェヴォたんは狼？ / ペーチパイセン / 愛のぴよ子 / 聖☆いんてぃないか / わっしょいミカ先生
1,10,em-7c0ef69518eb,有砂小町２ＰＣ,40,5112,5112,4,delay,0.4481,0.4931,99,1,8,いいえ,有砂小町２ＰＣ / ヤマさんヤミーさん / コンドアーズ / 愛のぴよ子 / おこしんMK-2
