枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-39a2f0d8ec72,ロードスのエルフ騎士,44,4430,5623,6,skill_reduction,0.5711,0.6709,99,1,7,いいえ,ロードスのエルフ騎士 / カルボ姉（ねえ） / 愛のぴよ子 / ɚすぃとあろま？ / 美才能♪かの子さん
1,2,em-7a5551d5b1ab,琉球童子☆万太郎,42,4260,5623,0,attribute_change,0.5607,0.6519,99,1,7,いいえ,琉球童子☆万太郎 / カルボ姉（ねえ） / 愛のぴよ子 / ????? / 発音鬼リチャード
1,3,em-5d063141c6e0,ブルーフェイス姐さん,33,3919,4260,0,attribute_change,0.56,0.6773,98,2,7,いいえ,ブルーフェイス姐さん / カルボ姉（ねえ） / 試作型おこしん / 愛のぴよ子 / 御嶽さん
1,4,em-c4c6b3b17960,青コリくんは怒らない,24,2350,3834,0,damage_reduction,0.5556,0.7025,96,4,8,いいえ,青コリくんは怒らない / カルボ姉（ねえ） / 愛のぴよ子 / ????? / 御嶽さん
1,5,em-37ae218b7e9e,有砂小町,40,5112,5112,7,skill_reduction,0.5533,0.6333,97,3,7,いいえ,有砂小町 / カルボ姉（ねえ） / 愛のぴよ子 / ????? / 発音鬼リチャード
1,6,em-814151a5ca65,登別ッキー,35,2556,6134,2,skill_reduction,0.5501,0.6582,99,1,8,いいえ,登別ッキー / カルボ姉（ねえ） / トマティーナ少佐 / ????? / 巨大カンテツ
1,7,em-bd35a359234a,ジョーカーくん,18,805,3935,3,skill_reduction,0.5495,0.7215,98,2,7,いいえ,ジョーカーくん / カルボ姉（ねえ） / 愛のぴよ子 / みどりのたけしマン / 御嶽さん
1,8,em-e7f75bf37d9f,あっついさん,40,6134,2726,0,heal,0.5421,0.6519,97,3,8,いいえ,あっついさん / カルボ姉（ねえ） / 愛のぴよ子 / ????? / 発音鬼リチャード
1,9,em-4c764571b9ab,お稲荷様のパシリ,47,6816,3408,1,attack_buff,0.5386,0.6466,100,0,7,いいえ,お稲荷様のパシリ / ある半ブラというＰＷ / 愛のぴよ子 / ɚすぃとあろま？ / 美才能♪かの子さん
1,10,em-ed68f4e03a58,欣喜ぴよ子,10,1785,1812,2,guard,0.538,0.7484,91,9,8,いいえ,欣喜ぴよ子 / ペーチパイセン / ????? / ブハラ師匠 / 美才能♪かの子さん
