枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-bbce42d72486,東がエデン,50,5112,5112,0,attribute_change,0.4797,0.5278,100,0,7,いいえ,東がエデン / 北間・クラリス嬢 / 摩陀羅　潮真 / おこしんMK-2 / ハリウッドナナコ師匠
1,2,em-d7873747b412,藤のフヒッティ,75,10735,3578,1,damage_reduction,0.4716,0.5069,99,1,7,いいえ,藤のフヒッティ / 北間・クラリス嬢 / ウナギーヌくん / おこしんMK-2 / 大森さん
1,3,em-df40dba7c56a,高野さん,34,4089,4089,5,skill_reduction,0.4692,0.5486,99,1,7,いいえ,高野さん / トリニダの怪人 / 摩陀羅　潮真 / 愛のぴよ子 / 美才能♪かの子さん
1,4,em-23638c0715eb,ばけごろう,30,1757,5743,1,attribute_change,0.4668,0.5833,97,3,8,いいえ,ばけごろう / ペーチパイセン / トマティーナ少佐 / ハンドさんは泳がない / 巨大カンテツ
1,5,em-4784572b893f,シントラーのリスボン,32,5680,3786,0,attribute_change,0.4648,0.5278,92,8,8,いいえ,シントラーのリスボン / 北間・クララさん / 摩陀羅　潮真 / タミちゃんの火祭り / おこしんMK-2
1,6,em-e121ae05cb4a,戦国ドラグーン,32,3919,5112,0,attribute_change,0.4642,0.5278,99,1,8,いいえ,戦国ドラグーン / ペーチパイセン / トマティーナ少佐 / ハンドさんは泳がない / 巨大カンテツ
1,7,em-698af6462642,反魂タン昼食TIME,32,3067,5623,4,attack_buff,0.4635,0.5972,99,1,8,いいえ,反魂タン昼食TIME / ペーチパイセン / トマティーナ少佐 / ハンドさんは泳がない / 巨大カンテツ
1,8,em-7e9ffb70cffa,企業だ浅ちゃん！,32,1192,7327,4,attack_buff,0.4559,0.5903,99,1,8,いいえ,企業だ浅ちゃん！ / ペーチパイセン / トマティーナ少佐 / ハンドさんは泳がない / 巨大カンテツ
1,9,em-c4663d98c2ff,海・百合男,33,3748,4430,5,skill_reduction,0.4478,0.5278,100,0,8,いいえ,海・百合男 / ペーチパイセン / トマティーナ少佐 / ハンドさんは泳がない / 巨大カンテツ
1,10,em-ab9b2ce76191,B・O・B,37,4935,3244,3,delay,0.4476,0.5139,98,2,7,いいえ,B・O・B / 北間・クラリス嬢 / トマティーナ少佐 / ハンドさんは泳がない / ブラジリアン首都術
1,11,em-8476f5773554,エーランドちゃん,30,6070,2160,7,delay,0.446,0.5139,97,3,7,いいえ,エーランドちゃん / ペーチパイセン / トマティーナ少佐 / ハンドさんは泳がない / 巨大カンテツ
1,12,em-2849b1a72ff2,生足魅惑の☆ハクさん,80,11246,5112,5,attack_buff,0.4457,0.5069,99,1,7,いいえ,生足魅惑の☆ハクさん / ウナギーヌくん / 覚醒けいび / 愛のぴよ子 / 大森さん
1,13,em-d5ed773d56cd,夏至祭のヴァサクサ君,18,3976,2156,2,skill_reduction,0.4437,0.5486,94,6,8,いいえ,夏至祭のヴァサクサ君 / カルボ姉（ねえ） / トマティーナ少佐 / ハンドさんは泳がない / 巨大カンテツ
1,14,em-ac3306faeab5,マサムネーダー,32,3919,5112,1,attribute_change,0.4431,0.5278,99,1,8,いいえ,マサムネーダー / ペーチパイセン / トマティーナ少佐 / ハンドさんは泳がない / 巨大カンテツ
1,15,em-c4b0b6848f16,?????,17,2828,2470,3,skill_reduction,0.4396,0.5764,99,1,8,いいえ,????? / 北間・クラリス嬢 / イチャン～(から) / ハンドさんは泳がない / 聖☆いんてぃないか
1,16,em-7f847f5ad505,電ドロ白鷺嬢,40,6816,2556,1,heal,0.4379,0.5278,98,2,8,いいえ,電ドロ白鷺嬢 / 北間・クラリス嬢 / トマティーナ少佐 / タミちゃんの火祭り / æッシュちゃん
1,17,em-52f594fdc52e,後楽園☆池田,43,5623,2896,1,attack_buff,0.4366,0.5278,100,0,7,いいえ,後楽園☆池田 / 北間・クララさん / 摩陀羅　潮真 / タミちゃんの火祭り / ハリウッドナナコ師匠
1,18,em-93a9275d427c,肉食ドゥブロさん,32,5106,3404,3,attack_buff,0.4364,0.5556,92,8,8,いいえ,肉食ドゥブロさん / 北間・クラリス嬢 / 摩陀羅　潮真 / タミちゃんの火祭り / おこしんMK-2
1,19,em-aefb52be8eca,半間鮫子,52,3411,6823,2,multi_hit_attack,0.4361,0.5278,100,0,7,いいえ,半間鮫子 / ペーチパイセン / 摩陀羅　潮真 / 愛のぴよ子 / ハリウッドナナコ師匠
1,20,em-4d9586371e6c,鞭・打つ子さん,38,4106,4106,3,multi_hit_attack,0.4352,0.5556,100,0,6,いいえ,鞭・打つ子さん / 北間・クララさん / 摩陀羅　潮真 / 大森銀さん / わっしょいミカ先生
1,21,em-d7d6357dff74,フェニックス師匠,32,4508,4830,0,heal,0.4352,0.4861,100,0,8,いいえ,フェニックス師匠 / 北間・クラリス嬢 / トマティーナ少佐 / ハンドさんは泳がない / にほりん
1,22,em-7f58743c664e,ポリミタス☆おかいこ,34,4771,3069,2,attribute_change,0.4329,0.5486,100,0,7,いいえ,ポリミタス☆おかいこ / トマティーナ少佐 / 摩陀羅　潮真 / おこしんMK-2 / 巨大カンテツ
1,23,em-c545b5a51997,トリニダの怪人,13,4077,1057,2,skill_reduction,0.4308,0.5694,98,2,8,いいえ,トリニダの怪人 / ヤマさんヤミーさん / トマティーナ少佐 / ハンドさんは泳がない / 巨大カンテツ
1,24,em-aa92178d2205,糸巻万太朗,40,5623,4260,2,attribute_change,0.4271,0.5139,95,5,7,いいえ,糸巻万太朗 / ペーチパイセン / イチャン～(から) / 大森銀さん / 巨大カンテツ
1,25,em-bdcce3725e8b,修験鬼ギュウちゃん,85,9372,5453,1,damage_reduction,0.4268,0.4306,100,0,4,いいえ,修験鬼ギュウちゃん / ウナギーヌくん / 覚醒けいび / デンマーくん / くーさん
1,26,em-d0ab149939aa,製鉄所★澤先輩,24,5313,1771,3,skill_reduction,0.4259,0.5139,87,13,8,いいえ,製鉄所★澤先輩 / 北間・クラリス嬢 / 摩陀羅　潮真 / おこしんMK-2 / 美才能♪かの子さん
1,27,em-563e34211286,大抵カールのせい,50,4686,5112,1,damage_reduction,0.4254,0.4931,94,6,7,いいえ,大抵カールのせい / トリニダの怪人 / 大患部！ぴよ子大佐 / ブラジリアン首都術 / ウシュか☆丸か
1,28,em-ceda64319ca1,蜜香のウミリンゴ,75,8520,5453,1,attack_buff,0.4245,0.4375,97,3,7,いいえ,蜜香のウミリンゴ / ペーチパイセン / ウナギーヌくん / 愛のぴよ子 / 大森さん
1,29,em-d1a3ff650b2f,メテオ大好きっこ,26,4669,3229,0,attack_buff,0.4242,0.5,94,6,7,いいえ,メテオ大好きっこ / カルボ姉（ねえ） / 摩陀羅　潮真 / 大森銀さん / 美才能♪かの子さん
1,30,em-572c57cf5e18,湘南大水曜日ボーイ,28,2044,5623,4,attack_buff,0.4233,0.5556,96,4,8,いいえ,湘南大水曜日ボーイ / カルボ姉（ねえ） / 摩陀羅　潮真 / 大森銀さん / 美才能♪かの子さん
1,31,em-17a8d3f2a8d3,牛迫 角子さん,31,3282,4260,1,attack_buff,0.4201,0.5278,99,1,7,いいえ,牛迫 角子さん / トリニダの怪人 / トマティーナ少佐 / 愛のぴよ子 / プラハ嬢
1,32,em-7c0ef69518eb,有砂小町２ＰＣ,40,5112,5112,4,delay,0.4194,0.4514,86,14,7,いいえ,有砂小町２ＰＣ / 夏至祭のヴァサクサ君 / 大患部！ぴよ子大佐 / 愛のぴよ子 / 大森さん
1,33,em-bd7b9f8f305f,レドニツェ嬢,36,6816,2556,0,attack_buff,0.4191,0.4653,94,6,6,いいえ,レドニツェ嬢 / 北間・クラリス嬢 / トマティーナ少佐 / ハンドさんは泳がない / ハリウッドナナコ師匠
1,34,em-433922ef3e4e,夏至祭のぺた也君,53,7266,2153,2,skill_reduction,0.4189,0.4722,100,0,7,いいえ,夏至祭のぺた也君 / ペーチパイセン / 大患部！ぴよ子大佐 / 大森銀さん / 巨大カンテツ
1,35,em-39a2f0d8ec72,ロードスのエルフ騎士,44,4430,5623,6,skill_reduction,0.4188,0.4583,100,0,7,いいえ,ロードスのエルフ騎士 / 乗っとるダム制度君 / トマティーナ少佐 / ハンドさんは泳がない / ハリウッドナナコ師匠
1,36,em-814b464a2192,ナナホシ,50,5044,5044,3,skill_reduction,0.4178,0.4514,100,0,7,いいえ,ナナホシ / 北間・クラリス嬢 / 摩陀羅　潮真 / おこしんMK-2 / ハリウッドナナコ師匠
1,37,em-438753e77e6c,デロスの月陽姉弟,41,3237,5453,2,heal,0.4174,0.5208,98,2,8,いいえ,デロスの月陽姉弟 / ペーチパイセン / トマティーナ少佐 / ハンドさんは泳がない / ハリウッドナナコ師匠
