枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-3e2d46063b3e,なっとくん様,70,8026,4618,1,skill_reduction,0.5177,0.5764,199,1,8,いいえ,なっとくん様 / vにゅーさん / トランシルヴァニア家族 / クェーサルと仲間たち / 巨大カンテツ
1,2,em-22f9d46fe6f4,ウサウサ八幡,88,10872,5964,6,skill_reduction,0.5122,0.5139,185,15,7,いいえ,ウサウサ八幡 / コロちゃん / ????? / ブハラ師匠 / モンさんミッシェル
1,3,em-dec390a52ee6,英国ストヘン技師,70,8861,4260,2,damage_reduction,0.5063,0.6111,199,1,8,いいえ,英国ストヘン技師 / vにゅーさん / トランシルヴァニア家族 / クェーサルと仲間たち / 巨大カンテツ
1,4,em-3deff3291fd4,有閑カノープス,70,5112,6816,2,attribute_change,0.4858,0.5903,199,1,8,いいえ,有閑カノープス / vにゅーさん / トランシルヴァニア家族 / クェーサルと仲間たち / 巨大カンテツ
1,5,em-05c5072dc080,橘の元祖☆みっちー,75,9798,4515,4,skill_reduction,0.4752,0.4931,199,1,8,いいえ,橘の元祖☆みっちー / vにゅーさん / サルパちゃん / 愛のぴよ子 / 財閥だ浅ちゃん！
1,6,em-39a2f0d8ec72,ロードスのエルフ騎士,44,4430,5623,6,skill_reduction,0.4636,0.5417,190,10,8,いいえ,ロードスのエルフ騎士 / ノローニャ・パイセン / 夜光虫ほたるん / 跛荒の鉄男大先生 / 財閥だ浅ちゃん！
1,7,em-8d38e9c3aa92,オルカアタッカー虎子,70,9202,6134,1,attack_buff,0.4619,0.4931,200,0,8,いいえ,オルカアタッカー虎子 / vにゅーさん / サルパちゃん / 愛のぴよ子 / ダル飯☆杏
1,8,em-daac43f51729,四悪妖・鵺,88,9542,5964,1,attribute_change,0.4588,0.4931,200,0,7,いいえ,四悪妖・鵺 / ペーチパイセン / 愛のぴよ子 / 跛荒の鉄男大先生 / ラパヌイ先生
1,9,em-d6ea073b633e,鬼八先生,60,8861,2556,3,delay,0.4538,0.5139,191,9,8,いいえ,鬼八先生 / ペーチパイセン / トランシルヴァニア家族 / ブハラ師匠 / 財閥だ浅ちゃん！
1,10,em-7c0ef69518eb,有砂小町２ＰＣ,40,5112,5112,4,delay,0.4519,0.5208,186,14,8,いいえ,有砂小町２ＰＣ / ノローニャ・パイセン / 夜光虫ほたるん / 跛荒の鉄男大先生 / 財閥だ浅ちゃん！
1,11,em-d7873747b412,藤のフヒッティ,75,10735,3578,1,damage_reduction,0.4469,0.5,180,20,8,いいえ,藤のフヒッティ / ノローニャ・パイセン / ????? / ブハラ師匠 / 旧市街地の魔物
1,12,em-cec2f0ad9373,Dr.フォックス,40,4089,4430,4,delay,0.4437,0.5347,186,14,8,いいえ,Dr.フォックス / ノローニャ・パイセン / 夜光虫ほたるん / 跛荒の鉄男大先生 / 財閥だ浅ちゃん！
1,13,em-076a0181e290,夏の海の天の川伝説,77,9372,5623,6,heal,0.442,0.5278,195,5,8,いいえ,夏の海の天の川伝説 / 北間・クラリス嬢 / ????? / 百華百彩久連子 / 財閥だ浅ちゃん！
1,14,em-cd52b65347bc,フローラさま,75,11161,3408,1,attack_buff,0.4409,0.4931,198,2,7,いいえ,フローラさま / vにゅーさん / トランシルヴァニア家族 / 愛のぴよ子 / シミ
1,15,em-adcf70bfd425,2人はフェレナント君,37,2982,5964,1,attribute_change,0.4405,0.5417,194,6,8,いいえ,2人はフェレナント君 / ノローニャ・パイセン / 田島の春 / 諏訪子成長期 / モンさんミッシェル
1,16,em-a447724e3bc1,ヴァレサバ☆関くん,54,4055,5759,0,guard,0.4403,0.5069,197,3,8,いいえ,ヴァレサバ☆関くん / vにゅーさん / トランシルヴァニア家族 / トキシッくんｵｯｽｵｯｽ / 財閥だ浅ちゃん！
1,17,em-37ae218b7e9e,有砂小町,40,5112,5112,7,skill_reduction,0.4395,0.4931,186,14,8,いいえ,有砂小町 / ノローニャ・パイセン / 夜光虫ほたるん / 跛荒の鉄男大先生 / 財閥だ浅ちゃん！
1,18,em-bbce42d72486,東がエデン,50,5112,5112,0,attribute_change,0.4374,0.5,199,1,8,いいえ,東がエデン / vにゅーさん / トランシルヴァニア家族 / 諏訪子成長期 / 巨大カンテツ
1,19,em-378cec222ec5,熱ぅい！地獄雀,45,5964,3408,5,revive,0.4367,0.5833,200,0,8,いいえ,熱ぅい！地獄雀 / ノローニャ・パイセン / ターヌムンゴネキ / ブハラ師匠 / 財閥だ浅ちゃん！
1,20,em-21f078527946,マノすん博士,40,4771,3408,7,delay,0.4365,0.5417,186,14,8,いいえ,マノすん博士 / ノローニャ・パイセン / 夜光虫ほたるん / 跛荒の鉄男大先生 / 財閥だ浅ちゃん！
1,21,em-e15fbf6ecd0c,シャーロック&エッジュ,41,4260,5112,2,skill_reduction,0.4363,0.5139,187,13,8,いいえ,シャーロック&エッジュ / ノローニャ・パイセン / 夜光虫ほたるん / 跛荒の鉄男大先生 / 財閥だ浅ちゃん！
1,22,em-2f36c9341591,☆龍神☆尊氏様,85,9372,5623,2,multi_hit_attack,0.4358,0.4861,170,30,7,いいえ,☆龍神☆尊氏様 / コロちゃん / ????? / ブハラ師匠 / シミ
1,23,em-cd5bbd27a3ee,熊とか絶対殺すマン,40,4086,4771,5,delay,0.4346,0.5069,186,14,8,いいえ,熊とか絶対殺すマン / ノローニャ・パイセン / 夜光虫ほたるん / 跛荒の鉄男大先生 / 財閥だ浅ちゃん！
1,24,em-23b2ea75fccd,金野デメ子さん,39,4430,5112,0,attribute_change,0.4333,0.4931,196,4,8,いいえ,金野デメ子さん / ノローニャ・パイセン / 田島の春 / 諏訪子成長期 / モンさんミッシェル
1,25,em-2a5e6ca1207c,ケーンクラちゃん,81,9713,4089,6,damage_reduction,0.4329,0.5347,193,7,7,いいえ,ケーンクラちゃん / 北間・クララさん / 田島の春 / 財閥だ浅ちゃん！ / シミ
1,26,em-70a9a07ea8d9,うさ☆八幡さま,60,5964,5964,6,delay,0.4298,0.4514,186,14,8,いいえ,うさ☆八幡さま / 北間・クラリス嬢 / 田島の春 / 家族贖罪という字面 / 御嶽さん
