枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-d7873747b412,藤のフヒッティ,75,10735,3578,1,damage_reduction,0.567,0.6528,198,2,8,いいえ,藤のフヒッティ / ノローニャ・パイセン / 愛のぴよ子 / 巳ーちゃんさん / 財閥だ浅ちゃん！
1,2,em-9445cdb23342,ハビリスさん,94,10319,5207,0,heal,0.5655,0.6042,190,10,8,いいえ,ハビリスさん / カルボ姉（ねえ） / トマティーナ少佐 / ハンドさんは泳がない / 八狗神伏姫様
1,3,em-22f9d46fe6f4,ウサウサ八幡,88,10872,5964,6,skill_reduction,0.5555,0.5556,191,9,6,いいえ,ウサウサ八幡 / 北間・クラリス嬢 / 大晦日のネギそば給仕少女 / 巳ーちゃんさん / 美才能♪かの子さん
1,4,em-4a7831bec582,春の音連れ,66,10906,3748,6,skill_reduction,0.5312,0.5764,188,12,7,いいえ,春の音連れ / vにゅーさん / トマティーナ少佐 / 巳ーちゃんさん / シミ
1,5,em-6c3fedc97022,ご案内・ユカたん,18,1573,2576,0,attribute_guard,0.5311,0.7292,194,6,8,いいえ,ご案内・ユカたん / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / ラパヌイ先生
1,6,em-bdcce3725e8b,修験鬼ギュウちゃん,85,9372,5453,1,damage_reduction,0.5234,0.5764,200,0,7,いいえ,修験鬼ギュウちゃん / 北間・クララさん / 鹿喰らいの狼マン / 財閥だ浅ちゃん！ / シミ
1,7,em-99eb90e0260f,傾国の二条嬢,17,2656,2495,2,attribute_guard,0.5144,0.7083,193,7,8,いいえ,傾国の二条嬢 / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / ラパヌイ先生
1,8,em-05c5072dc080,橘の元祖☆みっちー,75,9798,4515,4,skill_reduction,0.5129,0.5347,198,2,7,いいえ,橘の元祖☆みっちー / 北間・クラリス嬢 / 大晦日のネギそば給仕少女 / 巳ーちゃんさん / 財閥だ浅ちゃん！
1,9,em-654601ffb56d,スースちゃん,15,1132,2265,0,damage_reduction,0.5093,0.7014,191,9,8,いいえ,スースちゃん / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / ラパヌイ先生
1,10,em-3c7a40d5b751,宇和島マタドーるん,19,2737,3059,1,damage_reduction,0.5081,0.6806,185,15,8,いいえ,宇和島マタドーるん / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / 八狗神伏姫様
1,11,em-59dbe02c39e1,吸血くん,18,1757,3067,1,attribute_guard,0.506,0.6875,194,6,8,いいえ,吸血くん / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / ラパヌイ先生
1,12,em-d08c9e36ef51,地獄雀！阿蘇さん,17,3413,2061,1,attribute_guard,0.4992,0.6806,193,7,8,いいえ,地獄雀！阿蘇さん / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / ラパヌイ先生
1,13,em-682cda3863fb,脱力コンビあろま＆るる,48,3067,5623,2,skill_reduction,0.4981,0.5972,199,1,8,いいえ,脱力コンビあろま＆るる / vにゅーさん / ミッシェル・もなむー / 巳ーちゃんさん / シミ
1,14,em-2f0a120135a2,神降ろし！宮子様,24,3578,3152,0,heal,0.4972,0.6319,195,5,8,いいえ,神降ろし！宮子様 / 猿もの追い払いネキ / デロスの月陽姉弟 / ハバキたん / バビるわバビル君。
1,15,em-a78326864213,発音王・S・サイアン,88,10650,6560,8,attack_buff,0.4967,0.5833,188,12,7,いいえ,発音王・S・サイアン / 北間・クララさん / 大晦日のネギそば給仕少女 / 巳ーちゃんさん / 巨大カンテツ
1,16,em-35e37020b193,æッシュちゃん,17,3542,2254,5,attribute_guard,0.4915,0.6875,193,7,8,いいえ,æッシュちゃん / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / ラパヌイ先生
1,17,em-1de8c880f196,ヴィヒー先生,17,2114,2718,2,damage_reduction,0.4912,0.6806,193,7,8,いいえ,ヴィヒー先生 / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / ラパヌイ先生
1,18,em-7e70673d97ae,セント・キルダ音楽隊,13,1344,1963,0,attribute_guard,0.4911,0.6806,200,0,8,いいえ,セント・キルダ音楽隊 / ノローニャ・パイセン / デロスの月陽姉弟 / ハバキたん / あ、シュールさんだ。
1,19,em-712f122e2051,オロモ君は欝気味,17,1536,2684,1,guard,0.4876,0.6736,193,7,8,いいえ,オロモ君は欝気味 / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / ラパヌイ先生
1,20,em-d07cd0c8b0b0,二条城☆浴衣モード,19,2656,2495,1,attribute_guard,0.4865,0.6667,185,15,8,いいえ,二条城☆浴衣モード / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / 八狗神伏姫様
1,21,manual-nijo-yukata-mode,二条嬢☆浴衣モード,19,2656,2495,1,attribute_guard,0.4865,0.6667,185,15,8,いいえ,二条嬢☆浴衣モード / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / 八狗神伏姫様
1,22,em-daac43f51729,四悪妖・鵺,88,9542,5964,1,attribute_change,0.486,0.5139,191,9,6,いいえ,四悪妖・鵺 / 北間・クラリス嬢 / 大晦日のネギそば給仕少女 / 巳ーちゃんさん / 美才能♪かの子さん
1,23,em-7a5551d5b1ab,琉球童子☆万太郎,42,4260,5623,0,attribute_change,0.4852,0.5694,198,2,7,いいえ,琉球童子☆万太郎 / vにゅーさん / ミッシェル・もなむー / 花火戦隊サイガーRe / 巨大カンテツ
1,24,em-aa756f8a10dc,ラグーン☆南,22,2718,3473,2,attribute_change,0.4847,0.6597,192,8,8,いいえ,ラグーン☆南 / 猿もの追い払いネキ / 大晦日のネギそば給仕少女 / ハバキたん / バビるわバビル君。
1,25,em-679b3b1b58a8,シャフとリサブス,25,2944,3548,1,heal,0.4842,0.6389,196,4,8,いいえ,シャフとリサブス / 猿もの追い払いネキ / デロスの月陽姉弟 / ハバキたん / バビるわバビル君。
