枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-22f9d46fe6f4,ウサウサ八幡,88,10872,5964,6,skill_reduction,0.5301,0.5218,189,11,8,いいえ,ウサウサ八幡 / モチノ・ウオ丸 / ????? / ブハラ師匠 / まそお姉ちゃん
1,2,em-37ae218b7e9e,有砂小町,40,5112,5112,7,skill_reduction,0.4847,0.5556,166,34,8,いいえ,有砂小町 / モチノ・ウオ丸 / 大晦日のネギそば給仕少女 / ブハラ師匠 / まそお姉ちゃん
1,3,em-05c5072dc080,橘の元祖☆みっちー,75,9798,4515,4,skill_reduction,0.4827,0.4931,194,6,8,いいえ,橘の元祖☆みっちー / vにゅーさん / 超患部ぴよフェッサー / 諏訪子成長期 / まそお姉ちゃん
1,4,em-ceda64319ca1,蜜香のウミリンゴ,75,8520,5453,1,attack_buff,0.4756,0.5279,193,7,8,いいえ,蜜香のウミリンゴ / モチノ・ウオ丸 / 摩陀羅　潮真 / ブハラ師匠 / シミ
1,5,em-8d38e9c3aa92,オルカアタッカー虎子,70,9202,6134,1,attack_buff,0.4707,0.4931,189,11,8,いいえ,オルカアタッカー虎子 / 試作型おこしん / 大晦日のネギそば給仕少女 / 跛荒の鉄男大先生 / シミ
1,6,em-32538f7c8341,熊殺しのサンタマン,58,6560,4345,5,delay,0.4684,0.5208,198,2,8,いいえ,熊殺しのサンタマン / vにゅーさん / トランシルヴァニア家族 / ブハラ師匠 / ハリウッドナナコ師匠
1,7,em-70a9a07ea8d9,うさ☆八幡さま,60,5964,5964,6,delay,0.4676,0.5,200,0,8,いいえ,うさ☆八幡さま / vにゅーさん / トランシルヴァニア家族 / ブハラ師匠 / ハリウッドナナコ師匠
1,8,em-cec2f0ad9373,Dr.フォックス,40,4089,4430,4,delay,0.4666,0.5486,199,1,8,いいえ,Dr.フォックス / vにゅーさん / ハチモドキアブ / ＢＥＷ雪玉 / 降臨☆三原色ばうあー
1,9,em-23638c0715eb,ばけごろう,30,1757,5743,1,attribute_change,0.4635,0.5903,191,9,8,いいえ,ばけごろう / モチノ・ウオ丸 / 大晦日のネギそば給仕少女 / ブハラ師匠 / うらうらら
1,10,em-7b7bc6faa9ba,パティは実況勢,41,5623,3352,2,damage_reduction,0.4634,0.5903,200,0,8,いいえ,パティは実況勢 / vにゅーさん / ハチモドキアブ / ＢＥＷ雪玉 / 降臨☆三原色ばうあー
1,11,em-cd5bbd27a3ee,熊とか絶対殺すマン,40,4086,4771,5,delay,0.4604,0.5417,199,1,8,いいえ,熊とか絶対殺すマン / vにゅーさん / ハチモドキアブ / ＢＥＷ雪玉 / 降臨☆三原色ばうあー
1,12,em-5819b668aba5,ﾌﾗｲﾝｸﾞ･ﾀﾞｯﾁさん,41,3403,4601,5,delay,0.459,0.5486,200,0,8,いいえ,ﾌﾗｲﾝｸﾞ･ﾀﾞｯﾁさん / vにゅーさん / ハチモドキアブ / ＢＥＷ雪玉 / 降臨☆三原色ばうあー
1,13,em-4c03ad40dce9,源のゴライコー,75,7923,6390,4,attack_buff,0.4584,0.5417,193,7,8,いいえ,源のゴライコー / モチノ・ウオ丸 / ????? / ブハラ師匠 / モンさんミッシェル
1,14,em-9d5a58645c8c,カロニスタ・ヴェニ子,37,4444,4444,2,attack_buff,0.4583,0.5833,196,4,8,いいえ,カロニスタ・ヴェニ子 / vにゅーさん / ハチモドキアブ / ＢＥＷ雪玉 / 降臨☆三原色ばうあー
1,15,em-814151a5ca65,登別ッキー,35,2556,6134,2,skill_reduction,0.4561,0.5417,191,9,8,いいえ,登別ッキー / モチノ・ウオ丸 / 大晦日のネギそば給仕少女 / ブハラ師匠 / 降臨☆三原色ばうあー
