枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-e394b3795363,伝説の少女キャンディ,50,5507,5507,7,skill_reduction,0.6262,0.7292,200,0,8,いいえ,伝説の少女キャンディ / 赤城山の風神太郎 / ハチモドキアブ / 上京！世界師匠 / リスマニア
1,2,em-bbce42d72486,東がエデン,50,5112,5112,0,attribute_change,0.5728,0.6806,200,0,8,いいえ,東がエデン / 赤城山の風神太郎 / ハチモドキアブ / 上京！世界師匠 / リスマニア
1,3,em-22f9d46fe6f4,ウサウサ八幡,88,10872,5964,6,skill_reduction,0.5714,0.5903,200,0,8,いいえ,ウサウサ八幡 / カナちゃんでい / 試作型おこしん / 百華百彩久連子 / リスマニア
1,4,em-4a7831bec582,春の音連れ,66,10906,3748,6,skill_reduction,0.5605,0.6111,199,1,8,いいえ,春の音連れ / 赤城山の風神太郎 / ミッシェル・もなむー / 雷鳥プリトヴィさん / シミ
1,5,em-3de6064f1850,?????,49,5623,4771,0,guard,0.5482,0.6389,190,10,8,いいえ,????? / vにゅーさん / ミッシェル・もなむー / 雷鳥プリトヴィさん / シミ
1,6,em-9445cdb23342,ハビリスさん,94,10319,5207,0,heal,0.5375,0.5556,197,3,8,いいえ,ハビリスさん / ある半ブラというＰＷ / ????? / 百華百彩久連子 / 発音鬼リチャード
1,7,em-8d38e9c3aa92,オルカアタッカー虎子,70,9202,6134,1,attack_buff,0.5305,0.5833,200,0,8,いいえ,オルカアタッカー虎子 / vにゅーさん / 試作型おこしん / 跛荒の鉄男大先生 / シミ
1,8,em-459f1ecad59a,電波姫☆いまりちゃん,28,3919,4260,4,delay,0.5297,0.6458,199,1,8,いいえ,電波姫☆いまりちゃん / vにゅーさん / ミッシェル・もなむー / 百華百彩久連子 / シミ
1,9,em-9c0c703673c5,突撃ジャンヌさん,90,7668,6475,1,multi_hit_attack,0.5297,0.5972,194,6,8,いいえ,突撃ジャンヌさん / 田島・ハル / 超患部ぴよフェッサー / ????? / 首領・刑部たぬた
1,10,em-52f6158a170b,まろやかマロカ先輩,55,7668,3919,0,attack_buff,0.5239,0.5972,196,4,8,いいえ,まろやかマロカ先輩 / vにゅーさん / ミッシェル・もなむー / 雷鳥プリトヴィさん / シミ
1,11,em-8d98226e5962,玉稜の首領・たまうー,29,3067,4260,4,delay,0.5195,0.6528,200,0,8,いいえ,玉稜の首領・たまうー / vにゅーさん / ミッシェル・もなむー / 百華百彩久連子 / シミ
1,12,em-27802083d7f5,チュニスさん,50,5964,3919,4,skill_reduction,0.5184,0.6111,200,0,8,いいえ,チュニスさん / 赤城山の風神太郎 / ハチモドキアブ / 上京！世界師匠 / リスマニア
1,13,em-05c5072dc080,橘の元祖☆みっちー,75,9798,4515,4,skill_reduction,0.5179,0.5486,198,2,8,いいえ,橘の元祖☆みっちー / カナちゃんでい / 試作型おこしん / 跛荒の鉄男大先生 / 桜レンジャーズ
1,14,em-7a5551d5b1ab,琉球童子☆万太郎,42,4260,5623,0,attribute_change,0.5176,0.6042,196,4,8,いいえ,琉球童子☆万太郎 / vにゅーさん / ミッシェル・もなむー / 諏訪子成長期 / シミ
1,15,em-b2d6a846bb36,哀哭のオオウミガラス,75,9713,4941,2,damage_reduction,0.5168,0.6042,199,1,8,いいえ,哀哭のオオウミガラス / vにゅーさん / ミッシェル・もなむー / ＢＥＷ雪玉 / シミ
