枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-9445cdb23342,ハビリスさん,94,10319,5207,0,heal,0.6229,0.6597,200,0,8,いいえ,ハビリスさん / カルボ姉（ねえ） / 大晦日のネギそば給仕少女 / マプングブエの戦士 / ハリウッドナナコ師匠
1,2,em-4a7831bec582,春の音連れ,66,10906,3748,6,skill_reduction,0.6184,0.6806,189,11,8,いいえ,春の音連れ / 竜王！角成馬之助 / 大晦日のネギそば給仕少女 / 百華百彩久連子 / シミ
1,3,em-5e492c884ca0,三貴子素戔嗚,75,8946,6475,5,multi_hit_attack,0.5729,0.6806,198,2,8,いいえ,三貴子素戔嗚 / 竜王！角成馬之助 / 大晦日のネギそば給仕少女 / 百華百彩久連子 / シミ
1,4,em-22f9d46fe6f4,ウサウサ八幡,88,10872,5964,6,skill_reduction,0.5699,0.5764,200,0,8,いいえ,ウサウサ八幡 / 竜王！角成馬之助 / 田島の春 / みどりのたけしマン / チンチョーロさん
1,5,em-3e2d46063b3e,なっとくん様,70,8026,4618,1,skill_reduction,0.562,0.625,186,14,8,いいえ,なっとくん様 / けるるんぱさらん / 大晦日のネギそば給仕少女 / 首領・刑部たぬた / シミ
1,6,em-05c5072dc080,橘の元祖☆みっちー,75,9798,4515,4,skill_reduction,0.5489,0.5972,196,4,8,いいえ,橘の元祖☆みっちー / 田島・ハル / ɚすぃとあろま？ / 百華百彩久連子 / シミ
1,7,em-52f6158a170b,まろやかマロカ先輩,55,7668,3919,0,attack_buff,0.5375,0.6111,186,14,8,いいえ,まろやかマロカ先輩 / ガッサのお嬢 / 大晦日のネギそば給仕少女 / 百華百彩久連子 / リスマニア
1,8,em-b2125332555b,呵々Doの閑雅・ルー,85,9883,4771,5,guard,0.5366,0.6528,190,10,8,いいえ,呵々Doの閑雅・ルー / ガッサのお嬢 / 田島の春 / 雷鳥プリトヴィさん / リスマニア
1,9,em-448c2fa1943c,熊とか絶対殺すマン,44,4086,4771,5,delay,0.5335,0.6389,188,12,8,いいえ,熊とか絶対殺すマン / 田島・ハル / 大晦日のネギそば給仕少女 / ショウリョウ / シミ
1,10,em-daac43f51729,四悪妖・鵺,88,9542,5964,1,attribute_change,0.5313,0.5694,187,13,8,いいえ,四悪妖・鵺 / ペーチパイセン / 大晦日のネギそば給仕少女 / 首領子襲来!! / リスマニア
1,11,em-748c1a866dbc,Hey Yeah 清盛,75,11417,2896,3,guard,0.5309,0.6319,192,8,8,いいえ,Hey Yeah 清盛 / 竜王！角成馬之助 / 田島の春 / ア、ショーカ大王 / シミ
1,12,em-e0ae1e287b90,春のお兄さん,80,9202,5793,2,attribute_change,0.5264,0.5972,200,0,8,いいえ,春のお兄さん / 竜王！角成馬之助 / 大晦日のネギそば給仕少女 / 百華百彩久連子 / 発音鬼リチャード
1,13,em-e394b3795363,伝説の少女キャンディ,50,5507,5507,7,skill_reduction,0.526,0.5903,191,9,8,いいえ,伝説の少女キャンディ / vにゅーさん / ミッシェル・もなむー / 雷鳥プリトヴィさん / シミ
1,14,em-9a400a6535d5,ｸﾗﾌﾄｼﾞﾝｼﾞｬｰの妖精,44,5054,5006,4,skill_reduction,0.5211,0.6042,188,12,8,いいえ,ｸﾗﾌﾄｼﾞﾝｼﾞｬｰの妖精 / 田島・ハル / 大晦日のネギそば給仕少女 / ショウリョウ / シミ
1,15,em-03ca4c2f4e9d,勝手にストゥッツさん,51,6560,3786,0,attribute_change,0.5176,0.5903,182,18,8,いいえ,勝手にストゥッツさん / ガッサのお嬢 / 大晦日のネギそば給仕少女 / 百華百彩久連子 / リスマニア
1,16,em-eb039b6519a5,古代のウルファマン,53,7364,3067,3,skill_reduction,0.5151,0.6042,196,4,8,いいえ,古代のウルファマン / vにゅーさん / 無双中な宗茂さん / ɚすぃとあろま？ / シミ
1,17,em-eae2cf594e90,オオカマキリ,32,2215,5521,0,attack_buff,0.5149,0.625,198,2,8,いいえ,オオカマキリ / vにゅーさん / 大晦日のネギそば給仕少女 / 百華百彩久連子 / シミ
1,18,em-b2d6a846bb36,哀哭のオオウミガラス,75,9713,4941,2,damage_reduction,0.5093,0.5764,187,13,8,いいえ,哀哭のオオウミガラス / ある半ブラというＰＷ / 田島の春 / 上京！世界師匠 / シミ
1,19,em-271cd70345ae,下羅多ひひ次郎,44,2385,6986,1,attribute_change,0.5091,0.6181,188,12,8,いいえ,下羅多ひひ次郎 / 田島・ハル / 大晦日のネギそば給仕少女 / ショウリョウ / シミ
1,20,em-9667a89799b5,冬の双子姫,77,9628,4686,2,damage_reduction,0.5091,0.5903,198,2,8,いいえ,冬の双子姫 / 田島・ハル / ɚすぃとあろま？ / 百華百彩久連子 / シミ
1,21,em-237ca774c5e5,ルナプリ☆かぐや様,66,8861,1584,1,aoe_attack,0.509,0.6458,189,11,8,いいえ,ルナプリ☆かぐや様 / 竜王！角成馬之助 / 大晦日のネギそば給仕少女 / 百華百彩久連子 / シミ
1,22,em-a280c7496ca0,武門の誉れ玄き冬将軍,70,9375,2896,4,attack_buff,0.5073,0.6389,193,7,8,いいえ,武門の誉れ玄き冬将軍 / 竜王！角成馬之助 / 大晦日のネギそば給仕少女 / 百華百彩久連子 / シミ
