枠,順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,v7下限勝率,完成デッキ勝率,完成デッキコスト,残コスト,デッキ探索数,運用例採用,完成デッキ
1,1,em-3151d77efe3f,チンチョーロさん,37,4805,4805,7,revive,0.6831,0.8125,83,17,6,いいえ,チンチョーロさん / けるるんぱさらん / アウス大先輩 / たこ焼きーナ師匠 / ハリウッドナナコ師匠
1,2,em-667dae45fa9f,怪童の金たろす,52,6049,6049,2,damage_reduction,0.6831,0.8125,98,2,6,いいえ,怪童の金たろす / ペーチパイセン / アウス大先輩 / ɚすぃとあろま？ / 祝宴！さくらぴよ子
1,3,em-e394b3795363,伝説の少女キャンディ,50,5507,5507,7,skill_reduction,0.6749,0.7917,96,4,6,いいえ,伝説の少女キャンディ / けるるんぱさらん / アウス大先輩 / たこ焼きーナ師匠 / ウシュか☆丸か
1,4,em-14092b64f08d,コハク糖の魔導師,46,4379,5367,3,attribute_change,0.6749,0.7917,100,0,6,いいえ,コハク糖の魔導師 / けるるんぱさらん / アウス大先輩 / たこ焼きーナ師匠 / 玉藻先生
1,5,em-35dfd8c60675,はぎみタンさん,55,4430,4771,4,aoe_attack,0.6703,0.8125,98,2,6,いいえ,はぎみタンさん / ペーチパイセン / アウス大先輩 / ɚすぃとあろま？ / ウシュか☆丸か
1,6,em-009ea40e4b39,お夏ちゃん,4,311,329,3,heal,0.6609,0.7917,100,0,6,いいえ,お夏ちゃん / けるるんぱさらん / アウス大先輩 / みどりのたけしマン / K・Y・イマガワ
1,7,em-3dc20cd01b22,みかん大王,4,515,187,2,attribute_guard,0.6609,0.7917,100,0,6,いいえ,みかん大王 / けるるんぱさらん / アウス大先輩 / みどりのたけしマン / K・Y・イマガワ
1,8,em-57c0701ee61b,タミちゃん,4,314,298,3,attribute_guard,0.6609,0.7917,100,0,6,いいえ,タミちゃん / けるるんぱさらん / アウス大先輩 / みどりのたけしマン / K・Y・イマガワ
1,9,em-681f5ba59a2b,角成馬之助,4,500,700,3,attribute_change,0.6609,0.7917,100,0,6,いいえ,角成馬之助 / けるるんぱさらん / アウス大先輩 / みどりのたけしマン / K・Y・イマガワ
1,10,em-7db26a11a40b,ぐっすん,4,195,407,2,attack_buff,0.6609,0.7917,100,0,6,いいえ,ぐっすん / けるるんぱさらん / アウス大先輩 / みどりのたけしマン / K・Y・イマガワ
